Date,Ticker,Close_Price,High,Low,Open,Volume,SMA_50,SMA_200,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,ATR_14,Sentiment_Score,Price_Momentum
1/5/2009,AMT,22.7581501,23.18197957,22.41757339,22.6521931,4966400,166.2784162,164.6146816,1.756838843,-12.51831271,-2.892222441,228.5213727,96.54813436,12.11303906,-0.867094715,-0.867094715
1/6/2009,AMT,22.87924385,23.34848469,22.20565757,22.96249661,4424100,163.365752,163.9424371,1.853828104,-21.42567215,-6.598912383,245.4557005,64.4660498,11.98239216,-0.865095502,-0.865095502
1/7/2009,AMT,21.99374199,22.5538027,21.5774811,22.48568707,4234600,160.4321973,163.2627398,1.702856686,-28.23084369,-10.92529864,255.0214598,39.69479559,11.92433701,-0.870483744,-0.870483744
1/8/2009,AMT,21.84994698,21.97860969,21.16879058,21.91049405,4907300,157.4981519,162.5815427,1.567138975,-33.2522826,-15.39069544,260.1203404,19.28459769,11.86361862,-0.871488468,-0.871488468
1/9/2009,AMT,21.48666573,22.30405205,21.19149888,21.91049674,3817100,154.556046,161.8991635,1.512352798,-36.8364947,-19.67985529,262.4132201,1.863732122,11.82097432,-0.873684197,-0.873684197
1/12/2009,AMT,21.20663071,21.58505023,20.82064261,21.41854472,2888300,151.6361695,161.2163602,1.517552026,-39.24718795,-23.59332182,262.6677469,-13.24561837,11.73855377,-0.874737609,-0.874737609
1/13/2009,AMT,21.54720688,21.6910067,20.86605203,21.15365168,4752500,148.7016354,160.5424327,1.750888426,-40.66147785,-27.00695303,260.6876924,-26.23442876,11.68814626,-0.871784984,-0.871784984
1/14/2009,AMT,21.2444706,21.59261729,20.72981984,21.10823934,5525000,145.8033885,159.8652349,1.67674225,-41.33031098,-29.87162462,257.1573743,-37.53924911,11.55453658,-0.873668579,-0.873668579
1/15/2009,AMT,21.69100189,21.94832722,20.69197481,21.58504491,6411000,142.9341498,159.1802177,1.979287712,-41.34770412,-32.16684052,251.9262349,-47.12046254,11.47601668,-0.870145974,-0.870145974
1/16/2009,AMT,22.00131607,22.40244138,21.51693943,22.32675717,4291300,140.0905985,158.4985089,2.147793355,-40.86537791,-33.906548,245.0847334,-55.08115334,11.37455744,-0.868327441,-0.868327441
1/20/2009,AMT,21.15364456,21.91048334,21.13093888,21.83479918,4526300,137.2316841,157.8207106,1.603387329,-40.08940521,-35.14311944,236.7256097,-61.61694041,11.30528723,-0.874022529,-0.874022529
1/21/2009,AMT,22.37216377,22.41000659,21.13851665,21.24447367,3718500,134.3975377,157.1490535,1.607218059,-38.92738626,-35.8999728,226.8797061,-66.4635873,11.23778792,-0.867721074,-0.867721074
1/22/2009,AMT,22.53867912,22.90196171,21.84995535,21.84995535,3378500,131.5532042,156.4997971,1.722255598,-37.56007233,-36.23199271,215.6388428,-69.77438124,11.20643774,-0.866241292,-0.866241292
1/23/2009,AMT,22.7959919,22.9019489,21.70614331,21.91805731,2767000,128.8076458,155.8552429,1.920002998,-36.0402536,-36.19364489,202.6405045,-71.3129019,11.13069306,-0.862738666,-0.862738666
1/26/2009,AMT,22.70517159,23.55283196,22.38729913,22.85653997,5647500,126.0133569,155.2070627,49.54128809,-34.44604221,-35.84412435,187.9389551,-71.04497817,1.007136734,-0.002327892,-0.002327892
