Date,Ticker,Close_Price,High,Low,Open,Volume,SMA_50,SMA_200,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,ATR_14,Sentiment_Score,Price_Momentum
1/5/2009,AMZN,2.703000069,2.786999941,2.651499987,2.786499977,190196000,549.7304705,530.8340481,6.369884497,-59.74088061,-28.4157967,745.5081008,255.0604018,49.9274235,-0.995197099,-0.995197099
1/6/2009,AMZN,2.868000031,2.911000013,2.6875,2.727499962,221602000,538.4505527,528.4514703,6.724125426,-89.70659524,-40.67395641,796.5356629,144.284459,48.13468958,-0.994601509,-0.994601509
1/7/2009,AMZN,2.809999943,2.847500086,2.767499924,2.814500093,158854000,527.2014158,526.0377456,6.924156136,-112.1663364,-54.9724324,820.6496511,59.86477642,46.7314256,-0.994528445,-0.994528445
1/8/2009,AMZN,2.85800004,2.865999937,2.729000092,2.749500036,131558000,516.056796,523.6197828,6.188053114,-128.4809218,-69.67413028,833.2957963,-9.925909356,45.54560467,-0.994485447,-0.994485447
1/9/2009,AMZN,2.775500059,2.849999905,2.734999895,2.845999956,133682000,504.9865089,521.2139075,6.426266387,-139.8054155,-83.70038732,838.5552421,-69.4268054,43.7316047,-0.994408502,-0.994408502
1/12/2009,AMZN,2.595999956,2.714999914,2.543499947,2.70600009,191126000,493.8382372,518.8151071,6.574200729,-147.0989771,-96.38010527,833.4624904,-119.8978851,42.33701005,-0.994630305,-0.994630305
1/13/2009,AMZN,2.57249999,2.664499998,2.537499905,2.548000097,157664000,482.6760044,516.4368096,4.125521434,-151.138839,-107.331852,820.0963494,-162.5529792,40.85104062,-0.994830117,-0.994830117
1/14/2009,AMZN,2.424499989,2.505000114,2.407000065,2.505000114,208852000,471.5725107,514.0261282,4.205632792,-152.5933992,-116.3841615,804.5706903,-199.9108284,39.61976094,-0.995023277,-0.995023277
1/15/2009,AMZN,2.572000027,2.611500025,2.381500006,2.427999973,232346000,460.455501,511.6122963,2.231609741,-151.9822895,-123.5037871,785.7206031,-232.1600597,38.64684596,-0.994835359,-0.994835359
1/16/2009,AMZN,2.57949996,2.616499901,2.476500034,2.589999914,165164000,449.3080895,509.1906279,1.053184287,-149.7709096,-128.7572116,760.67511,-258.6831242,37.96480273,-0.994883825,-0.994883825
1/20/2009,AMZN,2.421999931,2.585000038,2.413500071,2.537499905,135344000,438.0968213,506.7927783,1.053351732,-146.3441202,-132.2745933,733.7785305,-281.1822078,37.58515543,-0.995193933,-0.995193933
1/21/2009,AMZN,2.52699995,2.534499884,2.412499905,2.465500116,116590000,427.0818742,504.5507701,0.093221483,-141.9831983,-134.2163143,703.9704422,-299.4668053,37.06114924,-0.995035118,-0.995035118
1/22/2009,AMZN,2.496999979,2.54399991,2.413000107,2.470999956,142666000,415.8826187,502.3007378,0.093428651,-136.9508726,-134.763226,666.5555503,-311.5615579,36.68785563,-0.995082901,-0.995082901
1/23/2009,AMZN,2.531500101,2.571000099,2.422499895,2.444999933,115866000,404.0956352,500.0723348,0.100669996,-131.4447215,-134.0995251,625.4537927,-318.9234501,36.05336205,-0.994993464,-0.994993464
1/26/2009,AMZN,2.48149991,2.544500113,2.426000118,2.509000063,143114000,392.133865,497.8419103,41.04326449,-125.6368284,-132.4069857,575.8640462,-318.8857246,0.143821427,-0.081946043,-0.081946043
1/27/2009,AMZN,2.421999931,2.520999908,2.385999918,2.464999914,174764000,379.9653738,495.6099087,30.28294006,-119.6594726,-129.8574831,517.0732322,-310.2712378,0.137499996,-0.155509099,-0.155509099
1/28/2009,AMZN,2.517999887,2.574500084,2.448499918,2.486000061,161132000,367.6115249,493.3600797,37.51069463,-113.6050603,-126.6069985,448.2546707,-291.5955083,0.142678567,-0.103914613,-0.103914613
1/29/2009,AMZN,2.5,2.592499971,2.457000017,2.497999907,359336000,355.4672109,491.15775,34.28446073,-107.5683661,-122.7992721,363.3471395,-257.3354594,0.142571432,-0.125262434,-0.125262434
1/30/2009,AMZN,2.940999985,2.986999989,2.861999989,2.868000031,795662000,343.5062982,488.9986194,55.52587333,-101.5777326,-118.5549642,252.7233572,-197.1995504,0.169142859,0.059628868,0.059628868
2/2/2009,AMZN,3.057499886,3.099999905,2.906500101,2.928499937,386486000,331.8000642,486.8524729,66.08574197,-95.71734192,-113.9874397,3.009926451,2.255723511,0.170714276,0.177773474,0.177773474
2/3/2009,AMZN,3.179500103,3.210000038,3.0,3.043499947,293892000,320.1145233,484.6752924,69.79778285,-90.02533959,-109.1950197,3.105754999,2.207544967,0.176642844,0.235957285,0.235957285
2/4/2009,AMZN,3.052999973,3.171999931,3.041500092,3.16899991,274526000,308.4776341,482.3830104,70.79059991,-84.54995499,-104.2660068,3.140245173,2.191554787,0.178964257,0.259228702,0.259228702
2/5/2009,AMZN,3.15899992,3.190500021,3.031500101,3.057499886,203392000,297.093828,480.0415532,69.96597913,-79.28813567,-99.27043254,3.203483296,2.163216662,0.173892822,0.228227017,0.228227017
