Date,Ticker,Close_Price,High,Low,Open,Volume,SMA_50,SMA_200,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,ATR_14,Sentiment_Score,Price_Momentum
1/5/2009,CTSH,8.542684555,8.578597014,8.381078063,8.511260405,7532200,52.57225346,51.9799635,5.216791253,-3.836318186,-1.094903134,70.0399861,30.5932813,4.053671773,-0.838847674,-0.838847674
1/6/2009,CTSH,8.72673893,8.843454673,8.533709079,8.565132384,7393600,51.67138823,51.71964719,5.670428336,-6.498196392,-2.175561786,75.02951578,21.05742565,3.971510809,-0.832500208,-0.832500208
1/7/2009,CTSH,8.888342857,9.162175927,8.138669432,8.255385153,22620000,50.77715511,51.4613889,4.38359917,-8.496768504,-3.43980313,77.78427403,13.81650168,3.982475362,-0.83204189,-0.83204189
1/8/2009,CTSH,9.265426636,9.287872467,8.825498626,8.901812738,13185600,49.89126362,51.20701604,5.141782581,-9.935691328,-4.738980769,79.28128838,7.936030153,3.967645053,-0.824385388,-0.824385388
1/9/2009,CTSH,9.014036179,9.386628279,8.88385383,9.319292522,10096800,49.00274437,50.95268621,5.169357563,-10.9698792,-5.985160456,80.03346041,2.858261693,3.897842988,-0.827482561,-0.827482561
1/12/2009,CTSH,8.847943306,9.17115641,8.74020589,9.17115641,9463200,48.11230326,50.69942593,5.183752352,-11.66837706,-7.121803777,80.00595965,-1.550443121,3.853625223,-0.829683481,-0.829683481
1/13/2009,CTSH,9.462944984,9.718821444,8.870388792,8.987104535,20675800,47.23956219,50.45129065,6.435239499,-12.0336003,-8.104163082,79.3520039,-5.251192705,3.846545275,-0.816396104,-0.816396104
1/14/2009,CTSH,8.838964462,9.269914059,8.713270402,9.130753359,20180200,46.36674149,50.19888548,6.437374807,-12.23238504,-8.929807474,78.35685707,-8.582149271,3.817734173,-0.826346479,-0.826346479
1/15/2009,CTSH,9.027503967,9.189109617,8.524728646,8.928744055,18452200,45.4952916,49.94802299,5.197349598,-12.23368748,-9.590583475,76.75683829,-11.37137992,3.773761199,-0.825454297,-0.825454297
1/16/2009,CTSH,9.1397295,9.350715082,8.829984016,9.162174465,11437800,44.62448618,49.69732165,5.14205381,-12.08634021,-10.08973482,74.71157105,-13.68813955,3.76167066,-0.823761485,-0.823761485
1/20/2009,CTSH,8.574108124,9.242978223,8.569618959,9.211554927,11348000,43.74996836,49.45149218,3.783712678,-11.87828191,-10.44744424,72.32087678,-15.66503448,3.742624719,-0.836714752,-0.836714752
1/21/2009,CTSH,8.690824509,8.838963524,8.394546478,8.789583567,15197400,42.84258482,49.2104463,3.696018274,-11.57059753,-10.6720749,69.5168901,-17.18696542,3.717225991,-0.834994782,-0.834994782
1/22/2009,CTSH,8.286809921,8.497796431,8.23743081,8.434949823,17798600,41.92612101,48.97213034,3.674045339,-11.22990469,-10.78364086,66.327596,-18.32299042,3.693680668,-0.842306184,-0.842306184
1/23/2009,CTSH,8.502286911,8.704294264,8.192541275,8.286811202,15137800,41.00736677,48.73589178,4.108272838,-10.81781493,-10.79047567,62.75753007,-18.99269595,3.655948673,-0.838144163,-0.838144163
1/26/2009,CTSH,8.717759132,8.96465722,8.484327684,8.502284345,12221600,40.08712196,48.49998056,52.08557469,-10.35448397,-10.70327733,58.46688831,-19.0022784,0.550872085,0.020494094,0.020494094
