Date,Ticker,Close_Price,High,Low,Open,Volume,SMA_50,SMA_200,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,ATR_14,Sentiment_Score,Price_Momentum
1/5/2009,DPZ,4.174816608,4.199041634,3.835663172,4.102140762,446400,131.6533929,132.9239215,4.146560868,-10.76747599,-2.322079905,187.4463175,69.82640703,11.40689545,-0.969653128,-0.969653128
1/6/2009,DPZ,4.627019405,4.683545086,4.174815113,4.207115392,708400,129.0914008,132.2788158,4.234589089,-18.70222371,-5.598108666,202.6150886,41.41311138,11.35294536,-0.96644374,-0.96644374
1/7/2009,DPZ,4.869273663,5.071150673,4.40899394,4.554345249,872300,126.5469323,131.6299195,4.328374336,-24.68645051,-9.415777035,211.036659,19.72744755,11.29786871,-0.964712326,-0.964712326
1/8/2009,DPZ,5.055000305,5.313402621,4.804672484,4.845048039,584400,123.9931034,130.9857769,4.500488106,-29.07880442,-13.34838251,215.6482994,1.873272526,11.13514701,-0.962927827,-0.962927827
1/9/2009,DPZ,4.950024128,5.095375429,4.845047996,5.087300549,440200,121.4542118,130.340815,4.5584881,-32.19709912,-17.11812583,217.6690372,-13.3507326,10.94188237,-0.963173526,-0.963173526
1/12/2009,DPZ,5.27302742,5.353778143,4.885423564,4.885423564,696400,118.9241575,129.6991355,4.785081871,-34.24752236,-20.54400514,217.383417,-26.38039687,10.72793315,-0.960677317,-0.960677317
1/13/2009,DPZ,4.990398407,5.34570191,4.893497557,5.248801059,680600,116.3523965,129.063938,4.887036908,-35.48624005,-23.53245212,215.4516881,-37.70661976,10.52349489,-0.961859273,-0.961859273
1/14/2009,DPZ,4.675472736,5.030776413,4.602796871,4.982325964,692600,113.791968,128.4262832,4.914515692,-36.07746605,-26.04145491,211.9120637,-47.48828931,10.38841891,-0.963964664,-0.963964664
1/15/2009,DPZ,4.764297485,4.974249374,4.239417185,4.675471494,662100,111.2448055,127.7767149,3.592678341,-36.12245236,-28.0576544,206.8638127,-55.76240308,10.21056641,-0.963834915,-0.963834915
1/16/2009,DPZ,5.022697926,5.079223605,4.71584528,4.853121656,402500,108.7469874,127.1219166,2.71475873,-35.72543301,-29.59121012,200.6290497,-62.66093548,10.09362514,-0.962300668,-0.962300668
1/20/2009,DPZ,4.392845154,4.958100804,4.352469585,4.958100804,451700,106.2131964,126.455044,1.884824339,-35.0574952,-30.68446714,193.3625514,-68.39663527,9.988301175,-0.967306643,-0.967306643
1/21/2009,DPZ,4.933875084,4.941949965,4.295943653,4.48167055,491400,103.6819059,125.7896998,1.553712061,-34.0915074,-31.36587519,184.7548654,-72.70519456,9.849603212,-0.963550076,-0.963550076
1/22/2009,DPZ,4.836971283,5.014623205,4.643169606,4.788520864,662700,101.1098495,125.1322074,1.561478123,-32.95390236,-31.68348062,175.3330281,-75.88383222,9.721153119,-0.964062499,-0.964062499
1/23/2009,DPZ,5.369927406,5.434527974,4.683545795,4.699695937,764800,98.55538591,124.4907673,1.976636653,-31.6445583,-31.67569616,164.6696735,-77.65817365,9.674553839,-0.959591802,-0.959591802
1/26/2009,DPZ,5.668706894,5.838283627,5.369928987,5.466829867,655500,95.9536093,123.8517038,67.1614273,-30.23426292,-31.38740951,151.9885591,-77.58393731,0.515651628,0.357833751,0.357833751
1/27/2009,DPZ,5.749456406,5.999783819,5.676780953,5.822132243,429400,93.35047587,123.2173592,64.09738325,-28.77833909,-30.86559543,136.9967058,-75.34018064,0.502962125,0.242583163,0.242583163
1/28/2009,DPZ,5.725231647,5.886733088,5.59603011,5.749456671,425100,90.75854587,122.5740667,61.37339881,-27.3116322,-30.15480278,119.1242905,-70.33174884,0.476429714,0.175787611,0.175787611
1/29/2009,DPZ,5.547577858,5.676779353,5.482977303,5.51527758,384900,88.20288091,121.9253254,56.55911349,-25.86543101,-29.29692843,97.14320054,-61.33193779,0.45393485,0.097443625,0.097443625
1/30/2009,DPZ,5.402226448,5.644478522,5.232649804,5.596028107,353100,85.63143233,121.2739939,55.95742283,-24.44919964,-28.32738267,68.62342792,-45.73134041,0.465470656,0.091353559,0.091353559
2/2/2009,DPZ,5.596030235,5.676781342,5.248801938,5.337627925,349600,83.03454099,120.6262305,54.40528238,-23.04553317,-27.27101277,5.979756809,4.182730841,0.462586715,0.061255668,0.061255668
2/3/2009,DPZ,5.70908308,5.773683674,5.531431062,5.531431062,478600,80.50231243,119.9796698,60.27717442,-21.67414886,-26.15163999,5.99016027,4.325754027,0.447590162,0.144013486,0.144013486
2/4/2009,DPZ,5.547577858,5.81405534,5.450677025,5.587953397,299600,77.95853346,119.3306834,63.04340415,-20.36558723,-24.99442944,6.014080281,4.393889861,0.442975789,0.186527688,0.186527688
2/5/2009,DPZ,5.628330708,5.692931672,5.103450805,5.531429838,504900,75.45341422,118.6829344,62.95395635,-19.10183259,-23.81591007,6.057114597,4.42676125,0.432593552,0.181355851,0.181355851
2/6/2009,DPZ,5.652556896,5.709082604,5.579881041,5.612181336,371000,72.93412008,118.0351103,60.15625552,-17.89209416,-22.63114689,6.101811995,4.441819511,0.41586664,0.125402519,0.125402519
2/9/2009,DPZ,5.652556896,5.652556896,5.426454451,5.612181336,392500,70.38828053,117.3841967,75.4900241,-16.74039488,-21.45299649,6.139058492,4.474826291,0.388757442,0.286764431,0.286764431
2/10/2009,DPZ,5.321478367,5.757532699,5.23265237,5.628331144,492000,67.81501863,116.7288818,58.57135597,-15.67370348,-20.29713789,6.141347405,4.477382472,0.380105586,0.078559606,0.078559606
2/11/2009,DPZ,5.26495409,5.450681014,5.127677618,5.369930261,325000,65.20536471,116.0681842,59.63639284,-14.66386796,-19.1704839,6.141870895,4.504314551,0.376644857,0.088481569,0.088481569
2/12/2009,DPZ,5.256877899,5.31340322,5.030775462,5.184202047,515800,62.56424953,115.3990608,46.66673791,-13.70622093,-18.07763131,6.113389167,4.590936795,0.34319097,-0.021052334,-0.021052334
2/13/2009,DPZ,5.208426476,5.418378742,5.151901162,5.345702898,312600,59.90829873,114.730921,34.07830887,-12.80359649,-17.02282434,6.087800285,4.660938577,0.328771067,-0.081196722,-0.081196722
2/17/2009,DPZ,4.8773489,5.046925632,4.836973341,4.966174899,359000,57.25345222,114.060096,24.28593038,-11.97691292,-16.01364206,6.098355016,4.635848943,0.320119308,-0.151685211,-0.151685211
2/18/2009,DPZ,4.796598911,4.974250552,4.6754726,4.917725222,459700,54.58186192,113.381904,23.50252309,-11.19917892,-15.05074943,6.021095016,4.753484318,0.320696091,-0.162200028,-0.162200028
2/19/2009,DPZ,5.022697926,5.135749285,4.845046394,4.966172631,573500,51.94087056,112.7143558,35.42606871,-10.44418081,-14.12943571,6.013285173,4.770176446,0.331078115,-0.094614252,-0.094614252
2/20/2009,DPZ,5.289178371,5.386079254,4.861198896,5.022700367,529800,49.29644997,112.0771705,47.05891692,-9.712378363,-13.24602424,5.981439222,4.847243105,0.339153232,-0.020926201,-0.020926201
2/23/2009,DPZ,5.240726948,5.466829366,5.103450906,5.35377835,740500,46.65165757,111.4410178,40.00005369,-9.032211567,-12.4032617,5.980030489,4.835731793,0.334538879,-0.063492024,-0.063492024
2/24/2009,DPZ,4.966173649,5.38607774,3.843737779,5.38607774,3134100,44.01132712,110.8070723,30.83335138,-8.418287855,-11.60626693,5.963442471,4.782066486,0.427402261,-0.130127627,-0.130127627
2/25/2009,DPZ,5.168050766,5.224576074,4.828897378,4.966173786,1050100,41.34617067,110.1651132,40.40822347,-7.825254433,-10.85006443,5.913158763,4.77420963,0.429709431,-0.068413117,-0.068413117
2/26/2009,DPZ,5.26495409,5.571807336,5.176128069,5.240728672,656900,38.70007144,109.5249626,40.89075638,-7.263720239,-10.13279559,5.861713812,4.779626826,0.416443409,-0.064562059,-0.064562059
2/27/2009,DPZ,5.515278339,5.636404589,5.127674571,5.200350398,510000,36.05260876,108.8809145,46.90904124,-6.721025472,-9.45044157,5.857433292,4.780677393,0.443552585,-0.024286099,-0.024286099
3/2/2009,DPZ,5.41030407,5.644481386,5.264952751,5.426454216,603700,33.40105593,108.2314869,44.79165322,-6.227618397,-8.805876935,5.858111932,4.780806516,0.454511598,-0.042857211,-0.042857211
3/3/2009,DPZ,5.111526489,5.50720568,4.845048863,5.50720568,760900,30.77617342,107.5821837,45.42253454,-5.793910001,-8.203483549,5.825021346,4.765446727,0.464317062,-0.039453675,-0.039453675
3/4/2009,DPZ,5.200353622,5.321479947,5.063077147,5.1115276,466400,28.19188398,106.9394052,48.61111481,-5.380996586,-7.638986156,5.763546977,4.77604815,0.459702734,-0.012269901,-0.012269901
3/5/2009,DPZ,4.772373199,4.877349355,4.651247281,4.845049059,1059400,25.60540487,106.2890437,41.17647262,-5.030307915,-7.117250508,5.753826871,4.708247791,0.46258677,-0.092165865,-0.092165865
3/6/2009,DPZ,4.748147011,4.877348164,4.627020737,4.740071746,621100,23.0835334,105.6343927,41.54302867,-4.700158961,-6.633832199,5.717136805,4.656919486,0.461433188,-0.088372077,-0.088372077
3/9/2009,DPZ,4.627019405,4.853121744,4.530118568,4.707770103,577400,20.58113605,104.9628555,45.01604138,-4.397594786,-6.186584716,5.674585993,4.59691655,0.469508251,-0.05132491,-0.05132491
3/10/2009,DPZ,4.933875084,4.998475677,4.723922772,4.764298335,519800,18.04506379,104.2928527,52.50736606,-4.085949527,-5.766457678,5.586907216,4.612727146,0.474699559,0.028619481,0.028619481
3/11/2009,DPZ,5.006550312,5.079226168,4.861198986,4.982325283,529600,15.48058634,103.6329717,49.68755028,-3.789422031,-5.371050549,5.561250073,4.606891483,0.466047903,-0.003214928,-0.003214928
3/12/2009,DPZ,5.07115078,5.07922566,4.869273765,4.96617464,664500,12.89470802,102.9752281,45.42373012,-3.508762309,-4.998592901,5.543903449,4.604857776,0.443553013,-0.041221448,-0.041221448
3/13/2009,DPZ,5.184202194,5.256878048,5.030775605,5.224577369,584000,10.29118473,102.3188834,48.8449032,-3.239867972,-4.646847915,5.535422601,4.606071054,0.433747583,-0.01078567,-0.01078567
3/16/2009,DPZ,5.030776024,5.329553961,5.006550609,5.224577804,349200,7.699920673,101.6721677,51.38892392,-3.004513322,-4.318380996,5.522230514,4.601498095,0.346652111,0.013008481,0.013008481
3/17/2009,DPZ,5.143826008,5.159976153,4.925798857,4.925798857,266600,5.144956617,101.0195617,49.45849515,-2.776860953,-4.010076988,5.528438935,4.621937385,0.335116296,-0.004687407,-0.004687407
3/18/2009,DPZ,5.345702648,5.386078201,4.998474361,5.143825656,625600,5.168374338,100.376786,51.72409019,-2.550751577,-3.718211906,5.551340321,4.653946372,0.33396253,0.015336992,0.015336992
3/19/2009,DPZ,5.289178371,5.474905256,5.240727545,5.474905256,681300,5.181617517,99.73959182,44.73689935,-2.349041021,-3.444377729,5.570457502,4.661477236,0.314351651,-0.040995205,-0.040995205
3/20/2009,DPZ,5.208426476,5.386078452,5.159976041,5.386078452,465000,5.188400574,99.10115626,45.2471447,-2.170677734,-3.18963773,5.561347333,4.662512215,0.303392635,-0.037313539,-0.037313539
3/23/2009,DPZ,5.42645216,5.515278124,5.240725353,5.42645216,776800,5.195829611,98.45104754,57.70743656,-1.988804987,-2.949471181,5.589133617,4.653298453,0.278013694,0.061610885,0.061610885
3/24/2009,DPZ,5.369927406,5.604104658,5.240725885,5.353777264,544100,5.204227676,97.79129317,54.21679233,-1.828156747,-2.725208295,5.615948591,4.666858854,0.285511978,0.032608126,0.032608126
3/25/2009,DPZ,5.47490406,5.620255352,5.208426114,5.499129083,377200,5.208265209,97.12117311,70.81335321,-1.673084841,-2.514783604,5.654207397,4.659285378,0.291856619,0.147207863,0.147207863
3/26/2009,DPZ,5.692932129,5.886733884,5.547580428,5.547580428,1204500,5.222315884,96.45712038,75.10730451,-1.515130711,-2.314853025,5.729144076,4.627146503,0.303392504,0.198979753,0.198979753
3/27/2009,DPZ,5.507203579,5.757530962,5.507203579,5.652554851,279600,5.2389505,95.79066057,72.61410577,-1.388926981,-2.129667816,5.727711082,4.627772021,0.298201376,0.190227033,0.190227033
3/30/2009,DPZ,5.361853123,5.482979402,5.248802108,5.273027518,311900,5.250901613,95.127712,61.99093295,-1.285816095,-1.960897472,5.721388245,4.629249763,0.288395735,0.08674278,0.08674278
3/31/2009,DPZ,5.289178371,5.466829989,5.240727545,5.35377896,349000,5.256231222,94.47504427,57.91857222,-1.196175454,-1.807953068,5.731679381,4.636723815,0.288972539,0.056451657,0.056451657
4/1/2009,DPZ,5.184202194,5.337628783,5.159976781,5.159976781,515900,5.272058363,93.82579408,53.09735761,-1.120686722,-1.670499799,5.730819139,4.635968915,0.286665404,0.022293049,0.022293049
4/2/2009,DPZ,5.458754539,5.781757448,5.248802264,5.248802264,1615300,5.282555952,93.17648751,56.91057105,-1.026870158,-1.541773871,5.7422243,4.693201887,0.313197748,0.052959421,0.052959421
4/3/2009,DPZ,5.676781178,5.676781178,5.361852793,5.466828921,852200,5.29935215,92.52477231,65.74802756,-0.92427249,-1.418273595,5.777936723,4.750352881,0.312620964,0.128410637,0.128410637
4/6/2009,DPZ,5.450679302,5.644481048,5.369928575,5.628330903,637600,5.300967188,91.87793864,57.08956686,-0.851393298,-1.304897535,5.72806592,4.882589674,0.315504906,0.05965468,0.05965468
4/7/2009,DPZ,5.386078358,5.587955355,5.248801938,5.450678935,323800,5.295314617,91.23014125,50.99602457,-0.78974508,-1.201867044,5.713787636,4.942088285,0.312044161,0.007552929,0.007552929
4/8/2009,DPZ,5.547577858,5.563727997,5.369926332,5.402226609,1047900,5.291277046,90.59054317,56.06054202,-0.719562099,-1.105406055,5.721335735,4.988642941,0.309160158,0.048854372,0.048854372
4/9/2009,DPZ,5.959409237,6.072460251,5.612180544,5.668706244,1517600,5.295960598,89.95926279,65.24591819,-0.62352265,-1.009029374,5.830509751,4.96829477,0.330501585,0.144186112,0.144186112
4/13/2009,DPZ,5.943257809,5.975558091,5.684855161,5.943257809,593400,5.303874197,89.32721181,61.42857745,-0.542460829,-0.915715665,5.919338759,4.955371324,0.329348105,0.095238221,0.095238221
4/14/2009,DPZ,5.797908306,5.935184752,5.733307717,5.878659428,395500,5.311787834,88.69591235,59.10656456,-0.484363798,-0.829445292,5.943344441,5.00807887,0.317812267,0.079699569,0.079699569
4/15/2009,DPZ,5.733306408,5.781756839,5.57987985,5.765606695,534800,5.314533358,88.07247019,55.59439946,-0.438479793,-0.751252192,5.958840917,5.051530434,0.302815678,0.047197603,0.047197603
4/16/2009,DPZ,5.854433537,5.919034121,5.636406372,5.765607541,476100,5.317440367,87.45145687,53.64962962,-0.387871303,-0.678576014,6.003277318,5.057967122,0.293586958,0.028368757,0.028368757
4/17/2009,DPZ,5.692932129,5.894809149,5.620256278,5.846358326,421800,5.320347452,86.82643306,54.24358392,-0.356683894,-0.61419759,6.014448155,5.08717166,0.29531735,0.033724657,0.033724657
4/20/2009,DPZ,5.369927406,5.612179536,5.176125318,5.571804374,432700,5.315179386,86.20053337,50.17063153,-0.353951299,-0.562148332,6.002613168,5.115156741,0.30973713,0.001505875,0.001505875
4/21/2009,DPZ,5.814058304,5.82213357,5.281103068,5.329553509,1005400,5.318409414,85.59045533,59.58700272,-0.312347498,-0.512188165,6.031397756,5.125132768,0.332231992,0.099236573,0.099236573
4/22/2009,DPZ,5.983635426,6.476215903,5.684857495,5.725233057,1449400,5.325030985,84.97959897,64.26511472,-0.262664893,-0.462283511,6.085208322,5.132693003,0.376068163,0.154205643,0.154205643
4/23/2009,DPZ,6.395464897,6.435840075,5.919034944,6.112837109,1035100,5.346510715,84.37301928,65.93405826,-0.187893949,-0.407405598,6.241792759,5.06816465,0.370300298,0.171597816,0.171597816
4/24/2009,DPZ,6.766918182,6.839594037,6.379314267,6.451989736,1343300,5.376549997,83.77056371,67.62401229,-0.097539882,-0.345432455,6.478225055,4.93913096,0.380682539,0.192034354,0.192034354
4/27/2009,DPZ,6.855741978,7.307946747,6.581189165,6.597339693,1111000,5.408527279,83.17436714,73.77044499,-0.018552435,-0.280056451,6.693446469,4.858763386,0.412982904,0.257777535,0.257777535
4/28/2009,DPZ,6.960720539,7.138372557,6.718467927,6.799219054,569500,5.44357316,82.58500319,76.28030228,0.051918099,-0.213661541,6.892346303,4.819750293,0.418750848,0.292354117,0.292354117
4/29/2009,DPZ,7.437147141,7.542123251,6.944567642,7.009168206,1413400,5.494769125,81.9856524,78.53655592,0.144543938,-0.142020445,7.181636327,4.745257145,0.447590416,0.340611584,0.340611584
4/30/2009,DPZ,7.62287426,8.131604331,7.469448097,7.752076171,1874000,5.551294632,81.38550548,76.96330634,0.230282654,-0.067559825,7.454056573,4.716704106,0.459702901,0.279132538,0.279132538
5/1/2009,DPZ,7.663250923,7.727851503,7.114145993,7.461373918,1341100,5.604105692,80.77673952,77.66233378,0.298053488,0.005562837,7.700130261,4.691080056,0.482774514,0.289402407,0.289402407
5/4/2009,DPZ,7.509824753,7.671326203,7.364473063,7.630950648,1397000,5.64851862,80.1840598,77.46109673,0.33551455,0.07155318,7.879480038,4.695034637,0.490272807,0.295264491,0.295264491
5/5/2009,DPZ,7.372548103,7.542124813,7.243346947,7.469448971,539700,5.691155043,79.58561797,75.69618552,0.350090013,0.127260546,7.994848062,4.771853494,0.497194298,0.285915592,0.285915592
5/6/2009,DPZ,7.146445274,7.477523393,6.904192749,7.469448129,816900,5.734760475,78.98402522,69.60781119,0.339483213,0.16970508,8.045381961,4.897356286,0.517958791,0.220689453,0.220689453
5/7/2009,DPZ,6.79921484,7.307944779,6.653863209,7.243344225,865900,5.767383757,78.38572274,65.89320267,0.299604993,0.195685062,8.051841871,5.016060074,0.545067984,0.194325646,0.194325646
5/8/2009,DPZ,7.429076195,7.44522673,6.742694603,6.968796711,931500,5.810666199,77.79737008,77.18548526,0.315192422,0.219586534,8.15030387,5.064564771,0.56410212,0.383459334,0.383459334
5/11/2009,DPZ,7.219120026,7.307946384,7.065693869,7.2756461,662800,5.844743032,77.19968875,69.77263498,0.307064219,0.237082071,8.203941458,5.138513405,0.542760835,0.241666259,0.241666259
5/12/2009,DPZ,7.017243862,7.251421141,6.888042711,7.251421141,533100,5.876881828,76.61159305,64.41435007,0.281092579,0.245884173,8.214827746,5.249560672,0.512190837,0.172739207,0.172739207
5/13/2009,DPZ,6.573115349,6.920343263,6.476214482,6.920343263,718300,5.906113606,76.02378991,52.45533332,0.222112039,0.241129746,8.183456642,5.36491267,0.506999669,0.027777567,0.027777567
5/14/2009,DPZ,6.573115349,6.718466264,6.484288977,6.605415638,657100,5.93356884,75.43017187,47.01491946,0.173371023,0.227578001,8.15586349,5.464374004,0.490849492,-0.028639748,-0.028639748
5/15/2009,DPZ,6.508514404,6.653865311,6.379312871,6.532739427,521900,5.968291664,74.83169714,44.61156108,0.128054527,0.207673307,8.100064981,5.60173074,0.458549124,-0.050647702,-0.050647702
5/18/2009,DPZ,7.009170055,7.009170055,6.556965213,6.64579082,327100,6.013512125,74.22399733,50.66962779,0.131029182,0.192344482,7.970002691,5.895717295,0.464317054,0.006960417,0.006960417
5/19/2009,DPZ,7.170671463,7.267572335,6.993019479,7.0414703,568500,6.064385166,73.60853049,45.96581496,0.144749845,0.182825554,7.897729727,6.103651575,0.441245429,-0.035830362,-0.035830362
5/20/2009,DPZ,7.03339529,7.469449616,7.009170264,7.243347572,683200,6.10637557,72.98912487,40.94298985,0.142899276,0.174840299,7.811819287,6.294538001,0.424518441,-0.077330276,-0.077330276
5/21/2009,DPZ,6.783069611,7.130298436,6.6215681,6.984946692,450600,6.141905956,72.36023794,37.2961044,0.119851918,0.163842623,7.778422124,6.366695636,0.417020214,-0.114857431,-0.114857431
