Date,Ticker,Close_Price,High,Low,Open,Volume,SMA_50,SMA_200,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,ATR_14,Sentiment_Score,Price_Momentum
11/19/2010,GM,25.74705505,25.92742098,24.88280941,25.66439032,107842000,920.3056577,846.5722588,1.472442151,-75.3717009,-9.431734733,1349.111394,499.1210263,81.35609839,-0.974053248,-0.974053248
11/22/2010,GM,25.61178398,25.91239004,25.40887339,25.70196551,36650600,903.1255752,843.0625294,1.344609335,-132.506252,-34.04663819,1459.686239,293.0007555,80.36462885,-0.974223041,-0.974223041
11/23/2010,GM,24.98802376,25.54414946,24.94293156,25.51408799,31170200,885.7989465,839.5465479,1.352316593,-175.8095051,-62.39921157,1521.188308,135.0148593,79.3187797,-0.974690524,-0.974690524
11/24/2010,GM,25.16087151,25.40135751,24.9654777,25.34875137,26138000,868.3624496,835.9889135,1.273852106,-207.7192397,-91.4632172,1555.893989,4.707675225,76.42814136,-0.974540181,-0.974540181
11/26/2010,GM,25.40136147,25.40887827,24.95796479,25.10826929,12301200,851.0454829,832.4233315,0.945537682,-230.3333888,-119.2372515,1570.029321,-106.0389669,74.89921688,-0.974387958,-0.974387958
11/29/2010,GM,25.40136147,25.40887827,24.85275251,25.40136147,27776900,833.7724103,828.8963387,0.955998418,-245.4261451,-144.4750302,1569.374505,-201.5209864,73.78593034,-0.974106562,-0.974106562
11/30/2010,GM,25.70196724,25.73954264,25.07069075,25.19844769,57476900,816.5105366,825.389944,1.004401927,-254.430095,-166.4660432,1555.039507,-283.8461505,72.29255288,-0.973329223,-0.973329223
12/1/2010,GM,26.1378479,26.26560771,25.86730042,26.04015243,34633200,799.336587,821.8856296,1.060456144,-258.5502124,-184.882877,1528.892438,-354.4445125,70.82519268,-0.972594544,-0.972594544
12/2/2010,GM,26.06269646,26.28815173,25.93493665,26.24305953,23196100,782.3187491,818.3754691,1.061188427,-258.8377784,-199.6738573,1492.897816,-414.5735344,69.50262473,-0.972652434,-0.972652434
12/3/2010,GM,25.96499443,26.00256983,25.52911467,25.96499443,19395200,765.3969211,814.8620852,1.065754765,-256.121155,-210.9633168,1446.479551,-464.3845753,68.30494581,-0.972635635,-0.972635635
12/6/2010,GM,25.91239548,26.13785078,25.85978933,25.91239548,11676500,748.3883343,811.4050783,0.123087869,-251.0781827,-218.98629,1389.218013,-503.7092154,67.33090602,-0.972944843,-0.972944843
12/7/2010,GM,26.06269646,26.22051486,25.89736125,26.11530259,20823000,731.2077474,807.9982525,0.139554964,-244.2538564,-224.0398033,1323.317057,-533.3015985,66.96798827,-0.972711639,-0.972711639
12/8/2010,GM,25.88985062,26.10027519,25.79966907,26.01009364,12603900,713.9417944,804.6184598,0.14203224,-236.1374305,-226.4593287,1249.841337,-553.6044166,65.67305667,-0.972418371,-0.972418371
12/9/2010,GM,25.35627174,25.87481922,25.26608733,25.82221308,18402200,696.4837697,801.2400272,0.144709791,-227.1299472,-226.5934524,1166.999623,-563.6016915,64.38443914,-0.972474505,-0.972474505
12/10/2010,GM,25.40887642,25.54415016,25.198449,25.43893502,11741700,678.7335219,797.817898,44.44450023,-217.4802304,-224.770808,1071.68251,-561.0453933,0.461647888,-0.013134653,-0.013134653
12/13/2010,GM,25.40136147,25.58924136,25.32621065,25.52160448,11029300,660.3863831,794.4052292,46.39178639,-207.4421032,-221.305067,962.3644714,-544.073376,0.444470321,-0.008215847,-0.008215847
12/14/2010,GM,25.46900177,25.49154644,25.13833414,25.34875873,15165600,642.2587551,790.9591831,60.19123902,-197.2080652,-216.4856667,831.3415369,-506.2797194,0.426755635,0.019248341,0.019248341
12/15/2010,GM,25.2585659,25.55917192,25.2585659,25.40887035,10182700,624.1369074,787.4922432,52.03754932,-186.9593459,-210.5804025,672.7564227,-440.6772202,0.417093221,0.00388279,0.00388279
12/16/2010,GM,25.2585659,25.44644574,25.22099051,25.22850444,9885700,605.9880907,783.9767199,46.68973538,-176.7991316,-203.8241483,470.8957578,-330.156983,0.400989061,-0.005621572,-0.005621572
12/17/2010,GM,25.55166054,25.55166054,24.94292877,25.19844549,35681600,588.0417179,780.4678333,53.06738431,-166.8006641,-196.4194515,26.25156587,24.92315509,0.404746633,0.005916969,0.005916969
12/20/2010,GM,25.37129593,25.58923726,25.35626806,25.484025,12476400,570.4277668,777.0228398,42.90317751,-157.0806328,-188.5516878,26.23501218,24.90213287,0.373612155,-0.012865603,-0.012865603
12/21/2010,GM,25.43893051,25.50656737,25.34123505,25.44644731,9012400,552.5666431,773.5896726,32.18381643,-147.6697355,-180.3752973,26.22848989,24.89136981,0.345161573,-0.026739669,-0.026739669
12/22/2010,GM,26.24305344,26.26560097,25.19844203,25.34123254,20935100,534.5090359,770.1644044,53.35181292,-138.5495329,-172.0101444,26.3007507,24.94461197,0.396157563,0.00692012,0.00692012
12/23/2010,GM,26.16039848,26.69397671,26.01760792,26.05518333,20529200,516.4911294,766.7583158,53.65187676,-129.8317565,-163.5744668,26.35473879,24.99057658,0.410651394,0.007525673,0.007525673
12/27/2010,GM,26.00257111,26.22051243,25.69444825,25.85978345,7368300,497.9192753,763.3600901,51.62150187,-121.5346158,-155.1664966,26.38744371,25.01799262,0.428365874,0.003480019,0.003480019
12/28/2010,GM,26.54367065,26.80670135,26.35579076,26.58876286,23489000,479.1912278,759.9349819,57.58294895,-113.6058326,-146.8543638,26.52460738,24.99505986,0.462721348,0.018454506,0.018454506
12/29/2010,GM,27.06973076,27.28015529,26.49106044,26.65639564,20960800,460.5360331,756.4766007,66.73762913,-106.0572046,-138.694932,26.79035954,24.86608405,0.4976134,0.045573076,0.045573076
12/30/2010,GM,27.67094994,27.79119295,27.06973486,27.12985494,16980800,441.6808974,753.0152088,82.21745307,-98.88644779,-130.7332351,27.16807056,24.64168324,0.505665564,0.09128622,0.09128622
12/31/2010,GM,27.70100594,27.77615673,27.48306462,27.6859752,6163900,423.0251433,749.5583006,82.10512707,-92.13902475,-123.0143931,27.4839016,24.48968315,0.501907775,0.090209794,0.090209794
1/3/2011,GM,27.85131073,28.55773795,27.8287632,28.04670452,24874900,404.1660233,746.0656846,82.99581738,-85.7905747,-115.5696294,27.79448529,24.36773108,0.544315011,0.096449525,0.096449525
1/4/2011,GM,28.48258972,28.55022659,27.56573503,27.88137184,32363400,385.2571973,742.5904199,85.23713427,-79.78868902,-108.4134413,28.22809804,24.19113776,0.589406386,0.118323756,0.118323756
1/5/2011,GM,28.61034966,28.78319881,28.15943906,28.15943906,22503900,366.2080835,739.1328778,89.96424982,-74.16689245,-101.5641315,28.62058708,24.05341404,0.612488796,0.132698894,0.132698894
1/6/2011,GM,29.2341156,29.66999551,28.61035291,28.73811275,38556900,346.9962399,735.681842,91.26373967,-68.86738511,-95.02478226,29.11610049,23.89232713,0.67207384,0.157394118,0.157394118
1/7/2011,GM,29.29422379,29.55725728,28.94100878,29.18901154,19901100,327.9586063,732.1802027,90.81973528,-63.92574099,-88.804974,29.5330824,23.86914042,0.672610749,0.146470451,0.146470451
1/10/2011,GM,28.97859192,29.57980692,28.88840752,29.56477619,18341600,308.7078889,728.6199059,88.21673215,-59.35076263,-82.91413173,29.8166629,23.94253147,0.705355764,0.142180202,0.142180202
1/11/2011,GM,29.12137222,29.63240556,28.94100633,29.05373537,14856500,289.554922,724.9978144,88.4014085,-55.07862603,-77.34703059,30.07867927,24.05251619,0.742931971,0.144756153,0.144756153
1/12/2011,GM,29.02368736,29.58732709,28.83580745,29.27169022,16773900,270.289324,721.3012202,84.00778005,-51.11162633,-72.09994974,30.27914781,24.2075162,0.720386307,0.105956951,0.105956951
1/13/2011,GM,28.76065445,29.09132203,28.64041143,29.05374662,11358300,250.9926938,717.6426592,80.45787711,-47.44209214,-67.16837822,30.37519794,24.46167493,0.704282151,0.09939665,0.09939665
1/14/2011,GM,28.70804214,28.91095273,28.58779915,28.69301141,5894200,231.820872,713.9059858,82.49116497,-44.03064734,-62.54083204,30.41671916,24.76510133,0.689788536,0.104046289,0.104046289
1/18/2011,GM,28.58027077,28.80572879,28.04669289,28.59530149,8918200,212.6273163,710.1280803,77.15418485,-40.86628177,-58.20592199,30.42920361,25.0554779,0.686567512,0.076726394,0.076726394
1/19/2011,GM,28.1068306,28.50513502,28.00161546,28.39240594,12667700,193.3539695,706.4077761,64.02454032,-37.95913268,-54.15656413,30.32551952,25.43271545,0.666169277,0.038312159,0.038312159
