Date,Ticker,Close_Price,High,Low,Open,Volume,SMA_50,SMA_200,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,ATR_14,Sentiment_Score,Price_Momentum
1/5/2009,INTC,9.335375786,9.573299589,9.272764636,9.435554104,57320400,89.7485076,72.53777708,6.791705907,-5.854895684,0.257240052,131.9915991,53.3239384,8.306193475,-0.90388782,-0.90388782
1/6/2009,INTC,9.62338829,9.711044613,9.441814949,9.448076243,61631400,88.2999753,72.248144,6.217543138,-11.27626707,-2.049461372,142.4110822,34.33779409,8.215169711,-0.901842226,-0.901842226
1/7/2009,INTC,9.041103363,9.429295318,8.9784922,9.260243925,131389200,86.83199732,71.95439951,5.661690241,-15.44172587,-4.727914272,148.2677772,19.56620917,8.129512681,-0.908305238,-0.908305238
1/8/2009,INTC,9.109975815,9.122497808,8.922141145,9.047364059,63101600,85.40679678,71.66059938,5.763045008,-18.52379379,-7.487090175,151.4952095,7.403774573,7.977395169,-0.906993608,-0.906993608
1/9/2009,INTC,8.859527588,9.141279834,8.778133158,9.13501854,45551100,83.97158728,71.36204702,5.551667812,-20.74740078,-10.1391523,152.851746,-2.987809081,7.89833413,-0.909744017,-0.909744017
1/12/2009,INTC,8.63412571,8.953444499,8.527686113,8.865788185,54082500,82.53746986,71.06371763,5.569108949,-22.27108616,-12.56553907,153.0445321,-12.02118273,7.760173972,-0.911553724,-0.911553724
1/13/2009,INTC,8.558992386,8.87831119,8.421246914,8.508903232,65565100,81.09344967,70.7670626,5.81199409,-23.21704876,-14.69584101,152.0363593,-19.87011037,7.382821573,-0.908322704,-0.908322704
1/14/2009,INTC,8.189583778,8.533947132,8.120711346,8.427507539,69549600,79.66984129,70.47076053,4.309509322,-23.72307428,-16.50128766,149.8719343,-26.69072717,7.161623976,-0.913657523,-0.913657523
1/15/2009,INTC,8.321069717,8.421248039,7.957923004,8.145757655,73153900,78.26146273,70.1760159,2.027915391,-23.83869569,-17.96876927,146.6134795,-32.4601652,6.87543282,-0.914383481,-0.914383481
1/16/2009,INTC,8.60282135,8.74056684,8.308547682,8.690477679,83985300,76.86031908,69.87748002,2.344456685,-23.63514031,-19.10204348,142.4746235,-37.25602672,6.782719663,-0.910777624,-0.910777624
1/20/2009,INTC,8.051840782,8.602822197,8.020535502,8.490121874,71563900,75.44535584,69.57863922,0.843522463,-23.25026613,-19.93168801,137.3869591,-41.17917863,6.716454274,-0.917678755,-0.917678755
1/21/2009,INTC,8.302286148,8.302286148,7.826438541,8.145757377,56622000,74.03460163,69.27590066,1.121147733,-22.66378769,-20.47810794,131.4151203,-44.13911154,6.688300881,-0.914664549,-0.914664549
1/22/2009,INTC,8.026794434,8.18332319,7.857743687,8.033055727,72704000,72.63673756,68.95943463,1.132776885,-21.96799579,-20.77608551,125.2472625,-46.5045743,6.589413768,-0.916457179,-0.916457179
1/23/2009,INTC,8.214630127,8.383681492,7.876527993,8.045579359,63162200,71.1836301,68.65435777,1.352708133,-21.15752812,-20.85237403,117.8167322,-47.7375809,6.502067349,-0.913648372,-0.913648372
1/26/2009,INTC,8.377421379,8.502644299,8.158280822,8.189586701,49562500,69.67757853,68.34169486,37.05587393,-20.2684487,-20.73558897,108.7365917,-47.53869851,0.41547205,-0.102615516,-0.102615516
1/27/2009,INTC,8.646648407,8.734304125,8.452552494,8.458813788,45615800,68.00971148,68.0429781,36.734696,-19.31942023,-20.45235522,98.41666397,-45.99610571,0.414130188,-0.101496464,-0.101496464
1/28/2009,INTC,8.77187252,8.934662587,8.634127034,8.847006259,57065400,66.24154892,67.74573746,45.8252283,-18.34572568,-20.03102931,85.90714489,-42.39039913,0.40339679,-0.029778538,-0.029778538
1/29/2009,INTC,8.371160507,8.671696126,8.333593928,8.671696126,51354500,64.4259721,67.44694327,39.61269371,-17.40575712,-19.50597487,70.87090088,-36.24603916,0.413235757,-0.08109959,-0.08109959
1/30/2009,INTC,8.076885223,8.452554553,8.076885223,8.421248676,47000100,62.62990986,67.14622769,39.13046357,-16.49443325,-18.90366655,51.62622945,-25.80167939,0.414130232,-0.088339063,-0.088339063
2/2/2009,INTC,8.533949852,8.584039018,7.98296843,8.026796301,69886500,60.91138887,66.85664746,48.69284477,-15.55600133,-18.23413351,9.45676998,7.708175336,0.426652532,-0.011602316,-0.011602316
2/3/2009,INTC,8.596560478,8.634127649,8.321070083,8.558993905,56695700,59.19932014,66.57598024,50.4918185,-14.6384917,-17.51500514,9.345126925,7.74593686,0.416366339,0.004389312,0.004389312
2/4/2009,INTC,8.780002594,9.210147003,8.672466492,8.71674585,77692400,57.53732025,66.29748024,58.1250192,-13.73819114,-16.75964234,9.134912106,7.87181311,0.430677106,0.072093873,0.072093873
2/5/2009,INTC,9.014054298,9.108938839,8.558607175,8.634514929,61024500,55.90180132,66.01925049,59.27465788,-12.85759608,-15.97923309,9.128808947,7.875211362,0.436891865,0.083280708,0.083280708
2/6/2009,INTC,9.317685127,9.412570269,8.988751536,9.134241243,62677300,54.23915508,65.74568892,59.51177582,-11.9969246,-15.18277139,9.186692245,7.838098995,0.43630612,0.083096434,0.083096434
2/9/2009,INTC,9.431545258,9.520104586,9.19749625,9.260752999,64735500,52.54738605,65.47584664,70.77453636,-11.1768094,-14.38157899,9.317992873,7.764000134,0.417757666,0.171352677,0.171352677
2/10/2009,INTC,8.906517982,9.583362555,8.881215399,9.349313503,94001200,50.87011648,65.20192924,58.40320943,-10.44878046,-13.59501929,9.347865129,7.761367105,0.43392192,0.07277897,0.07277897
2/11/2009,INTC,8.906517982,9.058333486,8.685119921,9.020379912,57378700,49.18584679,64.92246181,63.24983559,-9.759312998,-12.82787803,9.380719278,7.763265517,0.437324353,0.109598365,0.109598365
2/12/2009,INTC,8.855911255,8.855911255,8.533302914,8.735724153,76366300,47.43416496,64.63949139,60.0750408,-9.1119517,-12.08469276,9.402522339,7.808095203,0.424142556,0.078065734,0.078065734
2/13/2009,INTC,8.780002594,9.020377375,8.761025812,8.798979376,55953700,45.72856506,64.36324141,56.50238831,-8.506975286,-11.36914927,9.417399537,7.839111292,0.418070276,0.048055505,0.048055505
2/17/2009,INTC,8.356185913,8.685119488,8.356185913,8.577583964,60690300,43.99468872,64.08412233,45.53166355,-7.969854067,-10.68929023,9.414394364,7.817452922,0.416073907,-0.033592495,-0.033592495
2/18/2009,INTC,8.451066017,8.666138159,8.280273825,8.425763448,51305600,42.25731005,63.80487765,45.0183574,-7.450639268,-10.04156004,9.393916721,7.877853089,0.42216882,-0.03657218,-0.03657218
2/19/2009,INTC,8.020923615,8.463718951,8.01459782,8.432090583,56175100,40.5119285,63.52908226,44.6106078,-6.993252831,-9.431898595,9.415520836,7.82811272,0.430098743,-0.041838511,-0.041838511
2/20/2009,INTC,8.084180832,8.235996896,7.926039576,7.926039576,73617900,38.70981207,63.25185318,50.1208563,-6.550160285,-8.855550933,9.409700384,7.839671812,0.425405028,0.00090327,0.00090327
2/23/2009,INTC,7.641387939,8.166417033,7.622411151,8.160091236,88416500,36.89343985,62.96406013,35.14391176,-6.163684814,-8.317177709,9.479733196,7.712314781,0.421328978,-0.104589543,-0.104589543
2/24/2009,INTC,8.052555084,8.103160858,7.647713723,7.698318893,74644300,35.07029097,62.7099229,41.88677431,-5.757849561,-7.80531208,9.491894329,7.667667019,0.431951503,-0.06328175,-0.06328175
2/25/2009,INTC,8.242325783,8.52698005,7.957671515,8.046230875,108225000,33.29433746,62.45708452,41.99626641,-5.359132546,-7.316076173,9.483286925,7.63584216,0.42878879,-0.061238799,-0.061238799
2/26/2009,INTC,8.039904594,8.602887901,8.00827621,8.425769191,69012700,31.51253561,62.20013404,35.36117892,-5.001822243,-6.853225387,9.469003018,7.576929275,0.431951649,-0.108070095,-0.108070095
2/27/2009,INTC,8.058882713,8.311909225,7.90074137,7.907067168,69764500,29.71291325,61.94227845,29.31390398,-4.663363527,-6.415253015,9.474021523,7.54068299,0.431048015,-0.135098192,-0.135098192
3/2/2009,INTC,7.786879063,8.236000447,7.786879063,7.913392001,64495900,27.89665086,61.69066284,24.30829495,-4.366743872,-6.005551186,9.494766911,7.490936986,0.440084661,-0.174379293,-0.174379293
3/3/2009,INTC,7.76789856,7.989296566,7.67933984,7.894411448,76602000,26.09300889,61.43870234,28.87318736,-4.086100206,-5.62166099,9.507138794,7.401959974,0.412071059,-0.127841141,-0.127841141
3/4/2009,INTC,8.071530342,8.254974186,7.818503955,8.033576173,84412100,24.29123942,61.18090998,36.07591716,-3.795436108,-5.256416014,9.492103342,7.364492413,0.420204063,-0.093750177,-0.093750177
3/5/2009,INTC,7.786879063,8.134789493,7.780553265,7.945020387,76644500,22.49457695,60.91884438,33.4638129,-3.547162216,-4.914565254,9.465781549,7.291501853,0.422463198,-0.120713968,-0.120713968
3/6/2009,INTC,7.850133419,8.17274179,7.635061171,7.862785012,79191400,20.78437961,60.65444504,35.55990765,-3.307176202,-4.593087444,9.388817091,7.252074222,0.442343845,-0.10590762,-0.10590762
