Date,Ticker,Close_Price,High,Low,Open,Volume,SMA_50,SMA_200,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,ATR_14,Sentiment_Score,Price_Momentum
1/5/2009,JNJ,37.12057114,37.56564785,36.69404085,37.34929007,15540000,67.29779701,62.12050478,8.720716428,-2.198480838,0.099840008,83.88780556,53.68828659,3.621650603,-0.484446619,-0.484446619
1/6/2009,JNJ,36.89804459,37.36166553,36.40969899,37.29366977,22097600,66.8184568,62.02163183,8.785963433,-4.274602527,-0.775048499,87.79753785,46.37547469,3.548482491,-0.483691604,-0.483691604
1/7/2009,JNJ,36.55186081,36.97839105,36.31695897,36.6198589,14293300,66.29813293,61.91991638,8.823873077,-5.880095975,-1.796057994,90.0517142,40.67565511,3.530465402,-0.484740732,-0.484740732
1/8/2009,JNJ,36.48387527,37.02167487,36.24279278,36.87949808,17345400,65.78550575,61.81172298,8.898273192,-7.076374919,-2.852121379,91.23210879,35.97032041,3.504521776,-0.482657167,-0.482657167
1/9/2009,JNJ,36.50240707,36.81148758,36.19332657,36.55804166,14698300,65.27521797,61.69782255,7.878948733,-7.931509733,-3.86799905,91.70008885,31.98719867,3.481995387,-0.485869713,-0.485869713
1/12/2009,JNJ,36.06350327,36.72493517,35.94605356,36.52094332,15253100,64.78056519,61.58419249,7.865225071,-8.546111844,-4.803621609,91.68737439,28.46968203,3.498614569,-0.489409017,-0.489409017
1/13/2009,JNJ,36.3725853,36.54566958,36.08823187,36.22422565,15513400,64.24484299,61.47147953,9.218835437,-8.905590011,-5.624015289,91.07115212,25.52302169,3.28122721,-0.46235388,-0.46235388
1/14/2009,JNJ,35.82244492,36.21806774,35.47009319,36.19334072,16707900,63.68768349,61.35258438,8.386789909,-9.129630086,-6.325138249,90.13936178,22.89054393,3.212641945,-0.472807593,-0.472807593
1/15/2009,JNJ,35.61845016,35.97698482,34.62321019,35.9089867,20383600,63.13018486,61.2274012,6.50019659,-9.217391778,-6.903588954,88.88980613,20.60806718,3.151149594,-0.481643379,-0.481643379
1/16/2009,JNJ,35.50717545,35.89661763,35.00646643,35.89661763,20746500,62.5769577,61.09929344,5.047704885,-9.189986051,-7.360868374,87.32408413,18.67234074,3.143085486,-0.487558361,-0.487558361
1/20/2009,JNJ,35.08064651,35.87189206,34.92610622,34.9322868,23153700,62.02425636,60.96798977,1.83573013,-9.097810243,-7.708256748,85.32066798,17.08398557,3.108491814,-0.50248493,-0.50248493
1/21/2009,JNJ,34.83956146,35.59989936,34.05449655,35.59989936,22306100,61.48262329,60.83847717,0.893289541,-8.941145835,-7.954834565,82.99066633,15.83485285,3.150777934,-0.508327759,-0.508327759
1/22/2009,JNJ,35.15481567,35.21663319,34.37593385,34.84573517,19146100,60.92107689,60.7160989,1.754425775,-8.691361182,-8.102139889,80.78981941,14.78602783,3.140600061,-0.50143306,-0.50143306
1/23/2009,JNJ,34.59848404,34.85811062,34.06068208,34.70975325,21334000,60.24194107,60.59470875,1.756797703,-8.440993836,-8.169910678,78.19004607,14.05070253,3.123784331,-0.505070771,-0.505070771
1/26/2009,JNJ,34.95699692,35.20426221,34.49337626,34.74064156,16347800,59.58824898,60.47177635,24.03504916,-8.120044103,-8.159937363,75.01412931,13.85090098,0.864542321,-0.058285047,-0.058285047
1/27/2009,JNJ,35.56898499,35.69261766,34.93227754,35.14245238,14771500,58.93646812,60.3512756,35.41353543,-7.727232083,-8.073396307,71.20203219,14.2908782,0.85085472,-0.036019784,-0.036019784
1/28/2009,JNJ,36.1995163,36.31696606,35.79153005,35.99552199,18096400,58.27405876,60.2342658,46.3601865,-7.281114959,-7.914940037,66.40905781,15.65263157,0.857036791,-0.009639578,-0.009639578
1/29/2009,JNJ,36.02642822,36.3293282,35.63698843,35.95843012,16159300,57.6236805,60.12354349,45.37488229,-6.862424923,-7.704437015,60.4845059,18.09389414,0.850855196,-0.012538335,-0.012538335
1/30/2009,JNJ,35.66170883,36.09442202,35.38971883,35.96460877,13858500,56.96858994,60.00843609,42.05604716,-6.485281571,-7.460605926,52.84362737,22.24977092,0.857036781,-0.02303131,-0.02303131
2/2/2009,JNJ,35.66170883,35.93988177,35.18572456,35.38971883,10933900,56.32819756,59.89830673,45.85995016,-6.115892545,-7.19166325,37.23235484,34.43662214,0.855270752,-0.011141304,-0.011141304
2/3/2009,JNJ,36.2118721,36.35404885,35.37735335,35.89660867,13181700,55.68669235,59.79634125,48.42240459,-5.712900739,-6.895910747,37.06463531,34.51347176,0.890594266,-0.004418526,-0.004418526
2/4/2009,JNJ,35.82862473,36.5518746,35.6493574,36.29224565,11429500,55.0327552,59.69990248,50.06271729,-5.362634576,-6.589255513,36.90026356,34.57090152,0.901633026,0.000172512,0.000172512
2/5/2009,JNJ,35.92134857,36.18715808,35.22900867,35.81007936,14781300,54.38861748,59.59836929,53.1450694,-5.019700101,-6.275344431,36.80826996,34.5998439,0.873374082,0.008503975,0.008503975
2/6/2009,JNJ,36.1686058,36.29842143,35.72971198,36.01406553,11458700,53.75578094,59.49734741,56.67918339,-4.674090461,-5.955093637,36.75396149,34.62262542,0.850413957,0.018628076,0.018628076
2/9/2009,JNJ,36.16241837,36.28605104,35.82861086,36.13769136,9357000,53.10951286,59.39233147,61.93721508,-4.350541274,-5.634183164,36.6921877,34.65040034,0.815532124,0.030836714,0.030836714
2/10/2009,JNJ,35.06829834,36.16244438,34.98793669,35.84100014,16612000,52.42368477,59.27309708,52.12417887,-4.134749734,-5.334296478,36.65881947,34.58424808,0.789039616,0.006565435,0.006565435
2/11/2009,JNJ,35.43917847,35.46390312,34.94464768,35.16100549,14692600,51.72719933,59.14740417,52.61374848,-3.888976753,-5.045232533,36.55212387,34.597603,0.766079337,0.008088872,0.008088872
2/12/2009,JNJ,35.71733093,35.760602,34.66645944,35.18571226,14424600,51.05613945,59.02406868,60.83823882,-3.629911951,-4.762168417,36.5423822,34.59683327,0.787273196,0.032338032,0.032338032
2/13/2009,JNJ,35.29699326,35.72970644,35.11772835,35.67407185,12563900,50.36852921,58.90191797,53.25455242,-3.419105644,-4.493555862,36.53350745,34.57356233,0.780208349,0.009726131,0.009726131
2/17/2009,JNJ,34.60466003,35.1053714,34.45011975,34.66029463,15246500,49.65296997,58.77210081,40.90901234,-3.270208703,-4.24888643,36.57652425,34.44029399,0.772702029,-0.027111399,-0.027111399
2/18/2009,JNJ,34.51193619,34.7777433,34.25848787,34.43157458,15517100,48.92522774,58.64375328,32.29538931,-3.123680993,-4.023845343,36.62364618,34.33630103,0.756364484,-0.046618858,-0.046618858
2/19/2009,JNJ,34.57375717,34.92610888,34.38830928,34.77774915,12199800,48.19812607,58.5202096,34.39554225,-2.968350988,-3.812746472,36.64727253,34.28609424,0.7453259,-0.040322372,-0.040322372
2/20/2009,JNJ,34.06265259,34.57374799,34.00032243,34.28703402,24427000,47.45921326,58.39401377,33.3468142,-2.853598205,-3.620916818,36.74465532,34.07949515,0.735948926,-0.044839585,-0.044839585
2/23/2009,JNJ,33.43935776,34.33689043,33.39572785,33.76346499,20500400,46.69333488,58.26378313,29.5150355,-2.780894065,-3.452912268,36.91666818,33.79156966,0.749306453,-0.062317571,-0.062317571
2/24/2009,JNJ,33.99409485,34.13745066,33.5577932,34.03149057,18848100,45.9401403,58.13383993,29.57441849,-2.6479885,-3.291927514,36.97570505,33.63624258,0.729406267,-0.061244479,-0.061244479
2/25/2009,JNJ,33.63259125,34.13122075,33.40197555,33.85697512,21016500,45.18547585,57.99580038,29.69334549,-2.542521596,-3.14204633,37.03219755,33.38611071,0.717029696,-0.061292709,-0.061292709
2/26/2009,JNJ,32.68517685,33.96291739,32.59791703,33.96291739,21284600,44.39915115,57.85697254,24.15969182,-2.506493442,-3.014935753,37.11385613,32.95301819,0.746090478,-0.090090485,-0.090090485
2/27/2009,JNJ,31.16435623,32.41093048,31.12695815,32.15538285,29873300,43.59313576,57.70688431,16.79519962,-2.571021252,-2.926152853,37.4404755,32.14019162,0.797180684,-0.138358929,-0.138358929
3/2/2009,JNJ,29.86793327,30.80909865,29.81807151,30.55978272,27902900,42.77171894,57.54753518,14.33988777,-2.695696197,-2.880061522,37.9081531,31.09313646,0.835294038,-0.174061509,-0.174061509
3/3/2009,JNJ,29.69339752,30.24812267,29.50641186,29.90531523,25987400,41.95515369,57.38628963,16.00781067,-2.776578892,-2.859364996,38.17935608,30.22510235,0.804379975,-0.153269508,-0.153269508
3/4/2009,JNJ,30.60340118,30.77168902,29.53758062,29.78066225,24253500,41.14725452,57.23022782,21.36968903,-2.735713716,-2.83463474,38.08867897,29.75493237,0.855440901,-0.136452861,-0.136452861
