Date,Ticker,Close_Price,High,Low,Open,Volume,SMA_50,SMA_200,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,ATR_14,Sentiment_Score,Price_Momentum
1/5/2009,JPM,19.68874741,20.71188946,19.57431703,20.68496406,44069400,338.4999752,236.9165441,19.96782386,-6.808059942,24.7717974,591.6035635,207.7913122,52.61771896,-0.950899654,-0.950899654
1/6/2009,JPM,20.11281204,20.47629722,19.86375852,20.05223246,44216300,334.5252313,236.1481081,16.91086161,-33.94676081,13.02808575,639.0919309,127.1722247,50.9675429,-0.952650111,-0.952650111
1/7/2009,JPM,18.90792656,19.78971273,18.8473457,19.62143286,42156500,330.5439898,235.3860477,17.063369,-54.91853429,-0.561238254,669.6610214,62.70092761,50.01342713,-0.954776546,-0.954776546
1/8/2009,JPM,18.32231331,18.81369155,18.07999115,18.7800348,52075800,326.6374362,234.5993593,14.49115522,-70.77027428,-14.60304546,689.6132283,7.631952941,48.59512028,-0.957998503,-0.957998503
1/9/2009,JPM,17.48091698,18.54444598,17.37321793,18.54444598,42597500,321.7774543,233.8226638,10.3970336,-82.45034978,-28.17250632,700.9240669,-40.85279401,46.74735025,-0.96224587,-0.96224587
1/12/2009,JPM,16.76740837,17.60207648,16.49142945,17.44725929,59360000,316.7290025,233.0523509,7.621803839,-90.71871902,-40.68174886,706.3557078,-83.5866949,44.935255,-0.965057707,-0.965057707
1/13/2009,JPM,17.73670387,17.89825244,16.33661499,16.96934656,73422800,311.8335363,232.2778844,8.39473609,-96.08563182,-51.76252545,705.6456522,-121.201968,40.65180063,-0.959701216,-0.959701216
1/14/2009,JPM,17.44053268,17.68958756,16.66644523,17.22513457,73907300,306.9919472,231.476737,8.4557668,-99.21911126,-61.25384262,697.730645,-154.0199064,38.1291682,-0.96001437,-0.96001437
1/15/2009,JPM,16.38372993,18.2078833,15.99332065,17.86459346,136759300,302.1686221,230.6595057,8.698326438,-100.6277178,-69.12861764,686.4057084,-182.8665975,36.1844961,-0.961089322,-0.961089322
1/16/2009,JPM,15.36058903,16.82798996,13.81914581,16.71355957,156843400,297.4788337,229.8573587,6.870441683,-100.6661903,-75.43613217,668.5010247,-207.0488559,35.03512739,-0.964327476,-0.964327476
1/20/2009,JPM,12.17673016,14.31725007,11.914214,14.13550752,142090400,292.7427684,229.0421423,0.307659733,-99.80312258,-80.30953025,642.0073507,-225.6395079,32.90820192,-0.973659405,-0.973659405
1/21/2009,JPM,15.23269463,15.3740504,12.70849635,12.98447654,136421400,288.1906224,228.2851557,0.993605348,-97.74579177,-83.79678256,607.1252612,-237.2201474,32.11443925,-0.966457414,-0.966457414
1/22/2009,JPM,15.54905987,16.04043677,14.27686321,15.05095162,110240800,283.4728035,227.521001,1.119646609,-94.99477363,-86.03638077,574.4122967,-246.9652774,30.56183736,-0.963978456,-0.963978456
1/23/2009,JPM,16.34334755,16.54528296,14.68074099,14.75478457,74369200,278.0290705,226.7471678,1.348898137,-91.69349403,-87.16780342,537.3915692,-251.9272164,29.8914475,-0.960845817,-0.960845817
1/26/2009,JPM,16.49142456,17.33282377,15.97985369,16.82798425,74278400,272.4206989,226.0051249,39.06032864,-88.0502689,-87.34429652,498.1092903,-253.1017949,1.65250863,-0.162393411,-0.162393411
1/27/2009,JPM,16.86837578,16.94241934,16.19525622,16.90876388,50766500,266.3336664,225.2245668,38.86322491,-84.16239818,-86.70791685,450.5908288,-246.9564964,1.649623866,-0.161311917,-0.161311917
1/28/2009,JPM,18.6184864,18.69252996,17.72996882,18.30212068,91373900,259.7060361,224.4332592,49.042321,-80.01762002,-85.36985748,385.6961281,-226.427947,1.712608663,-0.015307874,-0.015307874
1/29/2009,JPM,17.11743355,18.29539298,16.9962718,17.99921996,58624200,253.478585,223.6600464,46.24108997,-75.97814709,-83.49151541,308.7032456,-193.1363216,1.752995861,-0.065760242,-0.065760242
