Date,Ticker,Close_Price,High,Low,Open,Volume,SMA_50,SMA_200,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,ATR_14,Sentiment_Score,Price_Momentum
1/5/2009,KO,13.71673679,13.85257619,13.63825245,13.75597954,20237200,105.6933606,101.1665716,2.850993511,-7.219327953,-0.262192014,153.0229525,63.65042709,8.692259151,-0.879913569,-0.879913569
1/6/2009,KO,13.49637413,13.8767244,13.42090793,13.79522077,21307800,104.0394128,100.6699173,2.848297488,-13.35039415,-2.87983244,164.5975824,41.83180671,8.648726084,-0.881719066,-0.881719066
1/7/2009,KO,13.56278324,13.63824943,13.34845955,13.34845955,21581000,102.384404,100.1703248,2.64542406,-17.9964972,-5.903165392,170.9489304,25.18934776,8.608979026,-0.881437072,-0.881437072
1/8/2009,KO,13.65636253,13.66843625,13.4510944,13.53561617,20087000,100.7412227,99.66153773,2.771315391,-21.42405312,-9.007342938,174.4005856,11.50472269,8.506455379,-0.878975869,-0.878975869
1/9/2009,KO,13.46316814,13.66239884,13.35751594,13.65334327,19802400,99.11090319,99.15059548,2.785555761,-23.88072295,-11.98201894,175.7862614,-0.156141186,8.432518708,-0.879911087,-0.879911087
1/12/2009,KO,13.2005434,13.48429581,13.1341328,13.4209045,20469800,97.48269863,98.6424528,1.926407166,-25.5542694,-14.69646903,175.819991,-10.28025577,8.226101937,-0.883201701,-0.883201701
1/13/2009,KO,13.28808689,13.37864609,13.16734053,13.22167628,22602400,95.83294813,98.1174546,2.041852695,-26.56725225,-17.07062568,174.4658279,-19.01967096,7.89262342,-0.880663789,-0.880663789
1/14/2009,KO,12.86547184,13.14016864,12.75981967,13.13111307,27053600,94.17613922,97.58751896,2.014353634,-27.09185195,-19.07487093,171.9496022,-26.62733735,7.801219511,-0.884479918,-0.884479918
1/15/2009,KO,13.08885479,13.09791036,12.79906493,12.85038138,28061600,92.54470526,97.05349737,1.595756959,-27.17630433,-20.69515761,168.2470842,-33.05524588,7.641136977,-0.883166519,-0.883166519
1/16/2009,KO,13.23374653,13.42693972,13.12205693,13.25185882,28353200,90.89386795,96.51336224,1.745812067,-26.92121094,-21.94036828,163.6968871,-38.46567372,7.555285836,-0.881205149,-0.881205149
1/20/2009,KO,12.94396019,13.43298074,12.94396019,13.21563776,28331800,89.24500057,95.97589091,0.610630567,-26.43767388,-22.8398294,158.2436407,-42.92903132,7.479501911,-0.885003905,-0.885003905
1/21/2009,KO,13.06772614,13.11602445,12.72661862,13.10093144,23800600,87.59900662,95.43264636,0.732529827,-25.7476772,-23.42139896,151.582662,-46.26327967,7.403030964,-0.88389404,-0.88389404
1/22/2009,KO,13.01641369,13.04961901,12.76888457,12.87151868,23489400,85.93526064,94.90817273,0.739478361,-24.91775399,-23.72066997,144.1259049,-48.6398811,7.333083274,-0.883313193,-0.883313193
1/23/2009,KO,12.73869514,12.87755268,12.54550185,12.87453454,31255800,84.22095968,94.39167566,0.742986904,-24.00572043,-23.77768006,135.5094807,-49.88658763,7.234658397,-0.88502983,-0.88502983
1/26/2009,KO,12.98923969,13.09489305,12.71454282,12.76887857,25210800,82.51087311,93.87003922,36.56629794,-22.9976083,-23.62166571,125.4278465,-49.70902932,0.337010063,-0.053037185,-0.053037185
1/27/2009,KO,13.07980347,13.2609219,12.98018752,13.0647093,19822800,80.80080582,93.35395935,41.92045022,-21.93847139,-23.28502685,113.9197639,-48.03296657,0.324504199,-0.030865376,-0.030865376
1/28/2009,KO,13.2397871,13.28204798,13.05564943,13.28204798,18563600,79.05730047,92.8356072,43.95479495,-20.84588998,-22.79719947,100.092457,-44.13768069,0.319976247,-0.023814886,-0.023814886
1/29/2009,KO,13.14621258,13.42996624,13.08282124,13.19149276,21258400,77.30933514,92.32065215,40.45200181,-19.75978353,-22.18971628,83.31544345,-37.3010462,0.329247901,-0.03735621,-0.03735621
1/30/2009,KO,12.8956604,13.18545024,12.83830537,13.1130022,22607400,75.52191128,91.80464255,39.60174291,-18.70364978,-21.49250298,61.72846035,-25.57949737,0.332266613,-0.042152615,-0.042152615
2/2/2009,KO,12.75076771,12.82925204,12.53644286,12.74171098,15966800,73.60415426,91.30346746,41.3873293,-17.67460595,-20.72892358,13.7467192,12.59732024,0.328169911,-0.034072513,-0.034072513
2/3/2009,KO,13.07678223,13.13111798,12.67228337,12.8292532,17950000,71.57424337,90.80917486,46.2923789,-16.64094816,-19.91132849,13.6552029,12.62484108,0.345850557,-0.015901812,-0.015901812
2/4/2009,KO,12.79906464,13.14620837,12.76284004,13.0858352,18307000,69.56944235,90.3088854,48.77237467,-15.66361599,-19.06178599,13.61312607,12.59718697,0.346066226,-0.005161661,-0.005161661
2/5/2009,KO,12.88660336,12.94697652,12.65114926,12.74472773,22119800,67.58869328,89.81369142,46.06339681,-14.71241401,-18.1919116,13.53952188,12.60317316,0.345850642,-0.015452187,-0.015452187
2/6/2009,KO,13.14621258,13.18847347,12.87755307,12.89868352,18722400,65.57649866,89.3223226,48.3690793,-13.77879789,-17.30928885,13.42738506,12.66429499,0.343910319,-0.00661445,-0.00661445
2/9/2009,KO,12.77189636,13.08885408,12.67831789,13.07677921,19688400,63.54765833,88.82819026,46.892028,-12.92016891,-16.43146486,13.35722394,12.66532893,0.338304293,-0.013292982,-0.013292982
2/10/2009,KO,12.27683544,12.77189446,12.15910841,12.68133414,45488000,61.49039886,88.33465481,37.40379028,-12.13970754,-15.5731134,13.43061807,12.49956401,0.354260023,-0.060522442,-0.060522442
2/11/2009,KO,12.45796013,12.55455677,12.36438163,12.36438163,21237400,59.42979275,87.83350223,41.45889594,-11.37544203,-14.73357913,13.41515536,12.43201404,0.354044801,-0.042903796,-0.042903796
2/12/2009,KO,13.39977264,13.41788494,12.72359642,12.87452876,61226200,57.39897442,87.33601813,58.4035865,-10.57189349,-13.901242,13.48477482,12.41582466,0.398892942,0.051895229,0.051895229
2/13/2009,KO,13.23676872,13.39675782,13.18847041,13.34242208,22736400,55.32208565,86.84341738,53.21820266,-9.834858419,-13.08796528,13.50420112,12.41118976,0.386602741,0.019056468,0.019056468
2/17/2009,KO,12.85943699,13.03753722,12.81113868,12.98018334,26421200,53.24023874,86.3491281,47.33376023,-9.175431665,-12.30545856,13.47112959,12.40683033,0.382721609,-0.016847843,-0.016847843
2/18/2009,KO,12.88358974,12.99226126,12.75378779,12.91377576,18108200,51.16504753,85.85818045,45.54385911,-8.552296733,-11.55482619,13.4686767,12.40324618,0.383584104,-0.026903556,-0.026903556
2/19/2009,KO,13.07074165,13.19752543,12.88358586,13.01338777,19813000,49.10773678,85.37302455,49.07743556,-7.951694036,-10.83419976,13.46898618,12.40323824,0.381212287,-0.005740888,-0.005740888
2/20/2009,KO,12.93188477,13.12205986,12.79302727,12.9711275,30173200,47.03689663,84.89024646,50.45524196,-7.401595673,-10.14767894,13.46341721,12.40035432,0.379918553,0.002809036,0.002809036
2/23/2009,KO,12.70548439,13.03753508,12.6541668,12.98621863,23461400,44.97128509,84.3957325,49.44233628,-6.904318688,-9.499006893,13.46449833,12.39595213,0.38638706,-0.003551419,-0.003551419
2/24/2009,KO,12.99829483,13.04055571,12.7356717,12.89566078,26216000,42.90695,83.89752932,49.02545834,-6.412674421,-8.881740399,13.46517695,12.39617902,0.377546825,-0.006002042,-0.006002042
2/25/2009,KO,12.79000854,13.06470541,12.72661723,12.96207135,26349400,40.88066231,83.38436094,49.88558181,-5.971019563,-8.299596232,13.44937605,12.38300043,0.374312529,-0.00070756,-0.00070756
2/26/2009,KO,12.39759064,12.91076117,12.37947833,12.91076117,21334000,38.84413673,82.92413279,44.26355938,-5.588251862,-7.757327358,13.4321081,12.31604873,0.391130784,-0.037947371,-0.037947371
2/27/2009,KO,12.33117867,12.46399994,12.21043342,12.36438398,35448000,36.80867245,82.4633248,39.98517858,-5.229976677,-7.251857222,13.42566473,12.24098871,0.387034079,-0.061997621,-0.061997621
3/2/2009,KO,11.98101139,12.29193286,11.95988095,12.21042924,31199000,34.76043028,81.99898212,40.22389358,-4.917609444,-6.785007666,13.49057024,12.0846183,0.381428059,-0.061923848,-0.061923848
3/3/2009,KO,11.72140694,12.16514727,11.70027535,12.01723421,37264600,32.73805849,81.533391,42.71001872,-4.637545335,-6.3555152,13.58586332,11.88638914,0.370862764,-0.045241993,-0.045241993
3/4/2009,KO,11.99308491,12.17118513,11.7244255,11.84818998,33883400,30.73572018,81.06896007,44.04019328,-4.343600051,-5.95313217,13.57720331,11.78667942,0.383152539,-0.037315517,-0.037315517
