Date,Ticker,Close_Price,High,Low,Open,Volume,SMA_50,SMA_200,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,ATR_14,Sentiment_Score,Price_Momentum
1/5/2009,MANH,3.970000029,3.997499943,3.877500057,3.992500067,854000,429.8669513,453.5491518,3.547881168,-39.52903682,-9.71253233,619.477423,222.3801361,38.73793256,-0.991194359,-0.991194359
1/6/2009,MANH,4.005000114,4.019999981,3.882499933,3.997499943,1299200,421.384168,451.3858058,2.915785816,-65.55668252,-20.88136237,669.3617518,127.0114501,37.93373429,-0.991178688,-0.991178688
1/7/2009,MANH,4.034999847,4.042500019,3.875,3.944999933,853200,412.9915269,449.2122055,1.377242391,-85.19923479,-33.74493685,696.3445635,54.08666721,37.12884382,-0.991256755,-0.991256755
1/8/2009,MANH,4.099999905,4.117499828,4.007500172,4.007500172,678000,404.6811899,447.0053011,1.421592231,-99.61258217,-46.91846592,710.5454018,-5.90570313,35.99137061,-0.99091575,-0.99091575
1/9/2009,MANH,4.010000229,4.132500172,3.99000001,4.112500191,609600,396.5197468,444.7774835,1.438270531,-109.7770841,-59.49018956,716.2836204,-56.86669484,35.29656502,-0.991007006,-0.991007006
1/12/2009,MANH,3.982500076,4.09250021,3.950000048,4.014999866,593200,388.3835631,442.5369543,1.441275303,-116.4918981,-70.89053128,715.0695866,-100.6945356,34.82442374,-0.991049086,-0.991049086
1/13/2009,MANH,3.960000038,4.03249979,3.952500105,3.967499971,543600,380.17883,440.2633246,1.493724502,-120.4270442,-80.79783386,708.2554384,-138.5691225,33.65350652,-0.990768407,-0.990768407
1/14/2009,MANH,3.779999971,3.942500114,3.757499933,3.914999962,751200,372.0518982,437.9005805,1.503600576,-122.1521068,-89.06868844,695.6327243,-170.9698183,32.50289371,-0.991124765,-0.991124765
1/15/2009,MANH,3.86500001,3.875,3.714999914,3.777499914,536400,363.9886123,435.4932418,1.52793793,-122.1048242,-95.67591559,676.7809264,-197.8814319,31.90893395,-0.9908941,-0.9908941
1/16/2009,MANH,3.882499933,3.897500038,3.75,3.892499924,418800,355.8520173,433.0625688,1.450466494,-120.6748754,-100.6757075,654.5500183,-220.3953305,31.41154091,-0.990860591,-0.990860591
1/20/2009,MANH,3.732500076,3.934999943,3.717499971,3.82249999,860400,347.4721879,430.6457414,0.430070073,-118.1912987,-104.1788258,628.4238369,-238.486167,30.90563135,-0.991304612,-0.991304612
1/21/2009,MANH,3.875,3.892499924,3.702500105,3.80250001,548800,339.0128129,428.213157,0.087670239,-114.8871996,-106.3205005,597.6160253,-251.783519,30.49094678,-0.991006442,-0.991006442
1/22/2009,MANH,3.827500105,3.880000114,3.717499971,3.792500019,496000,330.5917994,425.737929,0.088277065,-110.9930513,-107.2550107,564.7994556,-261.4803692,30.17745202,-0.991054654,-0.991054654
1/23/2009,MANH,3.762500048,3.819999933,3.714999914,3.744999886,538400,321.8925206,423.3757878,0.090144224,-106.6823875,-107.1404861,527.5159347,-266.4110188,29.78301915,-0.991020549,-0.991020549
1/26/2009,MANH,3.902499914,3.912499905,3.755000114,3.755000114,794000,313.0671887,420.9633606,46.92482216,-102.0781651,-106.1280219,484.9059734,-265.855818,0.150357127,-0.017002548,-0.017002548
1/27/2009,MANH,3.982500076,4.012499809,3.890000105,4.005000114,437600,304.0193039,418.5080398,49.01531515,-97.30120255,-104.362658,435.5639668,-258.5964268,0.149285674,-0.005617987,-0.005617987
1/28/2009,MANH,4.0,4.050000191,3.944999933,4.034999847,460800,295.2270932,416.0702128,48.45133371,-92.44832649,-101.9797917,376.4412314,-241.9987464,0.144821405,-0.008674064,-0.008674064
1/29/2009,MANH,3.917500019,4.0,3.882499933,3.967499971,461600,286.557718,413.5906519,42.04793222,-87.59925462,-99.10368428,304.142624,-212.3947843,0.145357149,-0.044512168,-0.044512168
1/30/2009,MANH,3.835000038,3.960000038,3.832499981,3.954999924,455600,277.9075399,411.122069,42.32455213,-82.80842333,-95.84463209,210.3081664,-160.9644396,0.144285713,-0.043640943,-0.043640943
2/2/2009,MANH,3.837500095,3.882499933,3.775000095,3.775000095,718400,269.3284891,408.6989126,43.49775736,-78.11103787,-92.29791325,4.111664902,3.71458515,0.14178569,-0.036409285,-0.036409285
2/3/2009,MANH,3.849999905,3.924999952,3.785000086,3.849999905,525200,260.8596804,406.3117652,45.02261636,-73.53959869,-88.54625034,4.105680808,3.708569232,0.146071417,-0.027777811,-0.027777811
2/4/2009,MANH,3.817500114,3.942500114,3.795000076,3.86500001,604400,252.1029323,403.9312107,51.95823351,-69.12252128,-84.66150453,4.094546031,3.700954009,0.143392835,0.009920673,0.009920673
2/5/2009,MANH,3.849999905,3.924999952,3.742500067,3.80250001,713200,243.4480902,401.5735011,49.17126402,-64.87153447,-80.70351051,4.075268944,3.701731102,0.144999964,-0.00388101,-0.00388101
2/6/2009,MANH,3.924999952,3.964999914,3.80250001,3.832499981,555200,234.8112271,399.2180894,52.20779516,-60.7957296,-76.72195433,4.039197286,3.720302765,0.146071383,0.01094656,0.01094656
2/9/2009,MANH,3.932499886,3.99000001,3.852499962,3.897500038,584000,226.0379172,396.9027053,62.19512197,-56.90900807,-72.75936508,4.025455758,3.726294258,0.140357103,0.053583337,0.053583337
2/10/2009,MANH,3.815000057,3.977499962,3.792500019,3.897500038,1279200,217.1133518,394.5979269,46.22641453,-53.22469337,-68.85243074,4.01055866,3.724441355,0.139999969,-0.015483856,-0.015483856
2/11/2009,MANH,3.795000076,3.932499886,3.592499971,3.815000057,1511200,207.8740961,392.2443306,47.88273209,-49.73316826,-65.02857824,3.998836753,3.719663265,0.152678524,-0.00849119,-0.00849119
2/12/2009,MANH,3.827500105,3.869999886,3.69749999,3.717499971,1136000,198.5614341,389.8585992,54.4217775,-46.42829054,-61.3085207,3.997089795,3.726160236,0.157499944,0.017275762,0.017275762
2/13/2009,MANH,3.867500067,3.907500029,3.755000114,3.819999933,527600,189.2608892,387.4382554,47.24410341,-43.30671067,-57.70815869,3.997232524,3.726267513,0.15714281,-0.008968571,-0.008968571
