Date,Ticker,Close_Price,High,Low,Open,Volume,SMA_50,SMA_200,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,ATR_14,Sentiment_Score,Price_Momentum
1/5/2009,MNST,2.87916708,2.950000048,2.845833063,2.880000114,12664800,196.9003659,200.5931718,2.612693446,-20.50769257,-8.522633042,270.1957987,95.82133551,16.5682496,-0.985442068,-0.985442068
1/6/2009,MNST,2.829999924,2.953332901,2.806667089,2.888333082,11989200,192.566568,199.6598566,2.583906423,-31.3737187,-13.09285017,290.7120014,54.99209856,16.40101906,-0.985694973,-0.985694973
1/7/2009,MNST,2.749166965,2.857500076,2.723332882,2.809999943,15561600,188.2313514,198.7226551,2.604729117,-39.53589999,-18.38146014,301.7105792,23.70114626,16.18333625,-0.985981354,-0.985981354
1/8/2009,MNST,2.722500086,2.783333063,2.676666975,2.756666899,20866800,183.8002488,197.7949928,2.613148966,-45.48234708,-23.80163752,306.9138736,-1.961728039,16.0167877,-0.986068749,-0.986068749
1/9/2009,MNST,2.667500019,2.724999905,2.625,2.724999905,13592400,179.3747865,196.8703925,2.656854885,-49.62731449,-28.96677292,308.3479251,-23.65667234,15.65789663,-0.986108518,-0.986108518
1/12/2009,MNST,2.595833063,2.73583293,2.574167013,2.73583293,14421600,175.0099395,195.9509956,2.662102319,-52.31495967,-33.63641027,306.3056047,-42.07470269,15.22057484,-0.986448861,-0.986448861
1/13/2009,MNST,2.653332949,2.663332939,2.5625,2.595833063,18038400,170.6577404,195.0184897,2.80735326,-53.81989581,-37.67310738,302.810025,-58.09109839,14.6358923,-0.985518508,-0.985518508
1/14/2009,MNST,2.565000057,2.644166946,2.530833006,2.609999895,14108400,166.4883348,194.0926031,2.887555725,-54.39269119,-41.01702414,296.9410032,-71.74883152,14.25742117,-0.985575327,-0.985575327
1/15/2009,MNST,2.679167032,2.703332901,2.530833006,2.575833082,16767600,162.3099132,193.1514246,0.656179319,-54.21249543,-43.6561184,289.108632,-83.2593316,13.76635758,-0.985288371,-0.985288371
1/16/2009,MNST,2.805000067,2.827500105,2.70166707,2.712500095,22384800,158.1328189,192.2098595,0.372092116,-53.44347224,-45.61358917,279.2585989,-92.67119352,13.52419764,-0.984651707,-0.984651707
1/20/2009,MNST,2.733333111,2.866667032,2.714167118,2.838332891,18073200,153.9994897,191.2900861,0.191942609,-52.2376358,-46.93839849,267.8948851,-100.2365618,13.37862284,-0.985070573,-0.985070573
1/21/2009,MNST,2.777499914,2.814167023,2.674166918,2.744167089,15832800,149.8501935,190.3745475,0.217152981,-50.69406818,-47.68953243,254.5145253,-105.7342809,13.2604757,-0.984769138,-0.984769138
1/22/2009,MNST,2.756666899,2.790832996,2.67750001,2.73583293,13818000,145.6659869,189.4582761,0.217719318,-48.90867204,-47.93336035,240.5487329,-109.815057,13.06714182,-0.984842651,-0.984842651
1/23/2009,MNST,2.746666908,2.791666985,2.685832977,2.715832949,12728400,141.8062959,188.5516754,0.189966104,-46.95329134,-47.73734655,225.519399,-112.2930892,12.90470214,-0.984901787,-0.984901787
1/26/2009,MNST,2.821666956,2.842499971,2.759166956,2.75999999,18673200,137.9401752,187.6460786,46.77267882,-44.88023475,-47.16592419,207.2867232,-111.9894665,0.12797606,-0.019971097,-0.019971097
1/27/2009,MNST,2.882499933,2.893332958,2.809166908,2.851666927,13722000,133.9973632,186.7502649,52.90858956,-42.73973669,-46.28068669,186.0410437,-108.7311854,0.123511791,0.01855124,0.01855124
1/28/2009,MNST,2.930000067,2.942500114,2.891666889,2.906666994,18577200,130.1688938,185.832442,60.40267189,-40.57185657,-45.13892067,161.017786,-101.7232865,0.118214147,0.065777417,0.065777417
1/29/2009,MNST,2.914999962,2.988332987,2.872499943,2.904999971,12069600,126.3869091,184.9670171,61.22448466,-38.41221425,-43.79357938,130.9473306,-89.59733115,0.11886893,0.070707023,0.070707023
1/30/2009,MNST,2.791666985,2.958333015,2.772500038,2.956666946,18862800,122.5739112,184.1092711,56.70569096,-36.29227929,-42.29331937,91.84266554,-68.40049892,0.124999864,0.046548066,0.046548066
2/2/2009,MNST,2.805833101,2.829999924,2.674999952,2.750833035,13516800,118.7689277,183.2488633,62.09215253,-34.2166443,-40.67798435,2.9651429,2.565607208,0.124523725,0.080898899,0.080898899
2/3/2009,MNST,2.883332968,2.913332939,2.783333063,2.823333025,15816000,114.9321904,182.3941131,62.94561308,-32.19431895,-38.98125127,2.965858811,2.565307886,0.126607077,0.086683437,0.086683437
2/4/2009,MNST,2.880000114,2.945832968,2.839999914,2.880000114,14493600,111.0480073,181.5681851,69.6058488,-30.24325506,-37.23365203,2.972940401,2.563226314,0.1260713,0.122807037,0.122807037
2/5/2009,MNST,2.922499895,2.929167032,2.805833101,2.825833082,16068000,107.118881,180.7433966,66.62871508,-28.36660097,-35.46024182,2.992608077,2.560891931,0.122559445,0.090824073,0.090824073
2/6/2009,MNST,3.015000105,3.016666889,2.925832987,2.944999933,20106000,103.1969568,179.9240479,65.03583453,-26.5656429,-33.68132203,3.030173359,2.552576652,0.11869044,0.074866322,0.074866322
2/9/2009,MNST,2.954999924,3.020833015,2.916666985,3.020833015,14122800,99.23557283,179.1029353,66.14082514,-24.85667983,-31.91639359,3.047742779,2.563757222,0.115238019,0.081097621,0.081097621
2/10/2009,MNST,2.878333092,2.980000019,2.868333101,2.920833111,16528800,95.24291977,178.2765598,57.01043333,-23.24059752,-30.18123438,3.042479333,2.597270671,0.11321422,0.036303576,0.036303576
2/11/2009,MNST,2.901667118,2.926666975,2.834167004,2.886667013,12610800,91.18650365,177.4411271,60.04621245,-21.70772465,-28.48653243,3.043177297,2.621406124,0.111726148,0.052599833,0.052599833
