Date,Ticker,Close_Price,High,Low,Open,Volume,SMA_50,SMA_200,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,ATR_14,Sentiment_Score,Price_Momentum
1/5/2009,PFE,8.986927032,9.145286349,8.848361636,9.10569652,44439170,148.4926682,150.5848595,3.45968823,-13.08070532,-4.636484458,200.0395543,77.45905911,11.46193382,-0.939295958,-0.939295958
1/6/2009,PFE,8.808772087,9.125491725,8.764232782,9.06610698,53984404,145.4638211,149.8694668,3.515966012,-21.27326106,-7.963839779,215.6886859,47.57579459,11.33680299,-0.939448425,-0.939448425
1/7/2009,PFE,8.655359268,8.818668046,8.610820963,8.749386348,41386786,142.4197023,149.1559714,3.521797359,-27.46173782,-11.86341939,224.4794995,24.72300531,11.22693254,-0.94034025,-0.94034025
1/8/2009,PFE,8.734537125,8.754332031,8.576176877,8.610818212,35061626,139.3297303,148.4450521,3.325636277,-31.99098904,-15.88893332,229.3276715,5.915021329,11.10573,-0.939950523,-0.939950523
1/9/2009,PFE,8.630617142,8.81866934,8.58607883,8.769181553,38032325,136.2807862,147.7336616,3.386777148,-35.18326793,-19.74780024,231.387849,-10.09452578,10.85803105,-0.939522409,-0.939522409
1/12/2009,PFE,8.591024399,8.754333145,8.521741719,8.744435193,35689072,133.2859664,147.0245923,1.649578213,-37.2865506,-23.25555031,231.1902913,-23.87906737,10.66560396,-0.940852451,-0.940852451
1/13/2009,PFE,8.704848289,8.714746245,8.551437443,8.610822191,45702705,130.279251,146.3161406,1.749096199,-38.50042372,-26.30452499,229.1420935,-35.76488005,10.53058536,-0.939381501,-0.939381501
1/14/2009,PFE,8.53164196,8.630617539,8.41287246,8.556386352,48032466,127.2987934,145.6041583,1.761540394,-39.02652967,-28.84892593,225.7883488,-46.10552363,10.41504465,-0.940103533,-0.940103533
1/15/2009,PFE,8.605870247,8.605870247,8.175329709,8.521742128,85104598,124.3095852,144.8819375,1.18580024,-38.98805282,-30.87675131,220.9760164,-54.94047464,10.25305458,-0.939954613,-0.939954613
1/16/2009,PFE,8.660307884,8.793923782,8.496999122,8.793923782,61930300,121.3362279,144.1588746,0.65359556,-38.50925624,-32.40325229,214.6654409,-62.3094357,10.1410438,-0.939907552,-0.939907552
1/20/2009,PFE,8.511845589,8.823616682,8.472254772,8.531639505,55635179,118.3545871,143.4370557,0.235097157,-37.70712194,-33.46402622,207.3859921,-68.44957113,10.05843151,-0.941172579,-0.941172579
1/21/2009,PFE,8.650411606,8.670206521,8.363384843,8.566282472,46144647,115.4129188,142.716172,0.336689042,-36.63790465,-34.09880191,198.2652787,-72.98855102,9.989644902,-0.94010403,-0.94010403
1/22/2009,PFE,8.516794205,8.581127418,8.422768127,8.546486074,49245410,112.4664129,142.0114308,0.33765777,-35.39333176,-34.35770788,187.9420013,-76.17364673,9.864901538,-0.940813733,-0.940813733
1/23/2009,PFE,8.635562897,8.670204237,8.190175938,8.294099462,114382188,109.5315335,141.3158099,0.429768771,-34.0054218,-34.28725066,176.2512667,-77.86333769,9.762426302,-0.939272445,-0.939272445
1/26/2009,PFE,7.744788647,8.180278657,7.566633959,8.150586292,221773299,106.6014745,140.6162681,24.12366034,-32.60156069,-33.95011267,162.6084513,-77.77831885,0.302227005,-0.138216142,-0.138216142
1/27/2009,PFE,7.82891655,7.927891085,7.695300181,7.724993039,117648956,103.697899,139.9210225,28.75528609,-31.1234307,-33.38477628,146.6198565,-75.41847333,0.293036431,-0.111236337,-0.111236337
1/28/2009,PFE,7.64086771,7.917998037,7.428071609,7.893253645,114698915,100.7990266,139.2214455,28.32979521,-29.62566972,-32.63295496,127.6757572,-70.17946759,0.313184956,-0.117209642,-0.117209642
1/29/2009,PFE,7.482506752,7.660661473,7.43301897,7.566635384,71315537,97.94422636,138.5312019,24.13091144,-28.12722858,-31.73180969,104.77115,-60.96900319,0.316719766,-0.143342498,-0.143342498
1/30/2009,PFE,7.215274811,7.482507156,7.175684981,7.467660721,72435307,95.07227148,137.8464529,22.60536389,-26.65401566,-30.71625088,74.92406101,-44.79020147,0.322022028,-0.16399086,-0.16399086
2/2/2009,PFE,7.368684769,7.502300668,7.185580597,7.240016851,72927314,92.23035105,137.1686235,27.33944301,-25.18380172,-29.60976105,9.418044416,7.23251148,0.328031217,-0.14228101,-0.14228101
2/3/2009,PFE,7.522096157,7.611173264,7.126196412,7.126196412,66814746,89.34957349,136.4912222,28.39052651,-23.73269186,-28.43434721,9.354396852,7.149675958,0.351007506,-0.135872802,-0.135872802
2/4/2009,PFE,7.365384102,7.668694194,7.345163497,7.602977482,69193308,86.45050544,135.8282494,28.56267871,-22.33782565,-27.2150429,9.317197433,7.042536578,0.358563622,-0.136697937,-0.136697937
2/5/2009,PFE,7.329999924,7.461433886,7.244061571,7.350220025,81293544,83.58556918,135.1635493,26.20811,-20.9932423,-25.97068278,9.288115707,6.93908237,0.34333732,-0.148255817,-0.148255817
2/6/2009,PFE,7.501873493,7.592866725,7.30472183,7.350218446,67264910,80.72190517,134.4950093,29.30442839,-19.68684387,-24.713915,9.218629631,6.885302082,0.342710194,-0.13376365,-0.13376365
2/9/2009,PFE,7.43615675,7.643418714,7.385604729,7.643418714,50392478,77.80988399,133.815628,30.19721471,-18.4442032,-23.45997264,9.156472195,6.828013479,0.336028199,-0.126375511,-0.126375511
2/10/2009,PFE,7.112629414,7.436160796,6.945808568,6.945808568,80091352,74.89788761,133.1287673,23.49533552,-17.28624243,-22.2252266,9.109889091,6.726757084,0.349137524,-0.177769829,-0.177769829
2/11/2009,PFE,7.269338131,7.279448436,7.137903143,7.168234568,53155539,71.97701858,132.4405583,28.66908416,-16.16951301,-21.01408388,9.011267147,6.681828013,0.349741791,-0.146470144,-0.146470144
2/12/2009,PFE,7.405824661,7.420989859,7.127790115,7.228893124,68720484,69.059276,131.7580217,29.0986989,-15.09942678,-19.83115246,8.92397204,6.65654139,0.336396894,-0.142403946,-0.142403946
2/13/2009,PFE,7.370441437,7.552427438,7.330000216,7.340110013,61196821,66.12336574,131.0835924,41.02880082,-14.09178949,-18.68327986,8.808439445,6.648531104,0.308452789,-0.048335368,-0.048335368
2/17/2009,PFE,7.203623772,7.289561657,7.102520168,7.218788982,66818435,63.19185716,130.4116233,35.58617556,-13.15504727,-17.57763335,8.665186615,6.646115523,0.305199259,-0.079869644,-0.079869644
2/18/2009,PFE,7.158121586,7.279445715,7.107569569,7.132846086,51011597,60.2636051,129.7361324,38.0893209,-12.27484716,-16.51707611,8.535411041,6.640518696,0.282481382,-0.06317949,-0.06317949
2/19/2009,PFE,7.092403412,7.294610436,7.067127407,7.228892721,43578052,57.38245115,129.0711163,39.91399154,-11.45058987,-15.50377886,8.338414283,6.681714635,0.282469991,-0.052135381,-0.052135381
2/20/2009,PFE,6.930640221,7.092405584,6.875033297,6.991302042,66027198,54.53556164,128.3733657,42.2163567,-10.68721738,-14.54046657,8.149777986,6.711735533,0.276080713,-0.039448891,-0.039448891
2/23/2009,PFE,6.708212852,6.950861164,6.698102549,6.92558515,71992416,51.70307276,127.680607,32.59563969,-9.98508536,-13.62939032,7.865621727,6.803156788,0.271512038,-0.089632267,-0.089632267
2/24/2009,PFE,6.869978905,6.905365226,6.637441382,6.758765042,69105615,48.87798607,126.9918061,32.89112961,-9.308287364,-12.76516973,7.823658578,6.757638962,0.256008251,-0.086693554,-0.086693554
2/25/2009,PFE,6.612165451,6.789096044,6.521172197,6.789096044,78750348,46.04198902,126.3050589,31.2341669,-8.692521491,-11.95064008,7.781565483,6.678056948,0.252036333,-0.10226468,-0.10226468
