Date,Ticker,Close_Price,High,Low,Open,Volume,SMA_50,SMA_200,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,ATR_14,Sentiment_Score,Price_Momentum
6/30/2010,TSLA,1.588667035,2.028000116,1.553333044,1.719333053,257806500,575.2342233,523.8506409,5.767323223,-44.86438478,-3.69832764,852.5766966,306.154924,56.11333128,-0.997430467,-0.997430467
7/1/2010,TSLA,1.463999987,1.728000045,1.351333022,1.666666985,123282000,563.7797924,521.3820932,3.928501389,-82.0358557,-19.36583325,924.027779,173.5892003,54.77969171,-0.997682107,-0.997682107
7/2/2010,TSLA,1.279999971,1.539999962,1.24733305,1.533332944,77097000,552.1849114,518.9163121,3.938307359,-110.2385995,-37.54038651,964.4490731,72.02188892,54.12674354,-0.997967355,-0.997967355
7/6/2010,TSLA,1.074000001,1.333333015,1.055333018,1.333333015,103003500,540.9516917,516.4032696,3.998184594,-131.094919,-56.25129301,987.7386544,-11.95012998,53.13474622,-0.998265781,-0.998265781
7/7/2010,TSLA,1.053333044,1.108667016,0.998667002,1.093333006,103825500,529.636396,513.8789644,3.36732449,-145.9430298,-74.18964037,997.0404286,-83.41789663,52.24554377,-0.998311114,-0.998311114
7/8/2010,TSLA,1.164000034,1.167999983,1.037999988,1.075999975,115671000,518.2140999,511.3461458,3.407817031,-155.9041684,-90.53254597,997.6591583,-145.1732781,51.12511903,-0.998119212,-0.998119212
7/9/2010,TSLA,1.159999967,1.19333303,1.103332996,1.172000051,60759000,506.6936903,508.8459879,3.526039623,-161.9321127,-104.8124593,989.3451975,-198.5703986,48.91637706,-0.998055842,-0.998055842
7/12/2010,TSLA,1.136667013,1.204666972,1.133332968,1.196666956,33037500,494.8709243,506.3812336,3.534841179,-164.8113422,-116.8122359,971.7924209,-244.0647645,47.74251989,-0.998089766,-0.998089766
7/13/2010,TSLA,1.209332943,1.24266696,1.126667023,1.159332991,40201500,483.0791637,503.9269558,3.603946594,-165.1831601,-126.4864207,947.4398621,-282.5634038,46.10155961,-0.997931809,-0.997931809
7/14/2010,TSLA,1.322667003,1.343333006,1.184000015,1.19599998,62928000,471.7732477,501.5144945,1.333012076,-163.5830004,-133.9057367,917.9521171,-314.8732932,44.98251739,-0.997793042,-0.997793042
7/15/2010,TSLA,1.325999975,1.433333039,1.266667008,1.329332948,56097000,460.4757845,499.0733045,0.049465454,-160.4648544,-139.2175602,881.1700306,-340.3271187,44.37283505,-0.997816241,-0.997816241
7/16/2010,TSLA,1.376000047,1.419999957,1.336666942,1.379999995,39319500,449.3087025,496.6023738,0.058126247,-156.1892146,-142.6118911,838.4403916,-359.3488202,43.8543034,-0.997717371,-0.997717371
7/19/2010,TSLA,1.460667014,1.483332992,1.394667029,1.424667001,37297500,437.9087117,494.0851868,0.072603558,-151.0526662,-144.3000461,792.9075034,-373.3357832,43.00202167,-0.997562617,-0.997562617
7/20/2010,TSLA,1.353332996,1.456666946,1.336666942,1.456666946,27379500,426.5141609,491.5466391,0.073643611,-145.3154693,-144.5031308,740.6550258,-380.4520311,42.19988688,-0.997708989,-0.997708989
7/21/2010,TSLA,1.34800005,1.393332958,1.299999952,1.377333045,18787500,414.7271683,488.9262634,39.15915426,-139.1649232,-143.4354893,682.8125408,-380.9477259,0.157523777,-0.151489884,-0.151489884
7/22/2010,TSLA,1.399999976,1.416666985,1.35800004,1.366667032,14367000,402.988336,486.3464503,46.91516809,-132.756046,-141.2996006,612.4779378,-370.4048001,0.135523771,-0.043715855,-0.043715855
7/23/2010,TSLA,1.419332981,1.437332988,1.404000044,1.412667036,9804000,391.3730826,483.7784411,57.98317322,-126.2204143,-138.2837633,527.6715208,-346.1774276,0.117285635,0.108853917,0.108853917
7/26/2010,TSLA,1.396667004,1.433333039,1.353332996,1.433333039,13833000,379.7244314,481.1957223,73.40429643,-119.663304,-134.5596715,426.1536456,-304.8012517,0.103142781,0.300434826,0.300434826
7/27/2010,TSLA,1.370000005,1.411999941,1.350667,1.394000053,9295500,368.1714835,478.5962808,72.77088922,-113.1644097,-130.2806191,294.370372,-232.8086637,0.099666561,0.300633273,0.300633273
7/28/2010,TSLA,1.381332994,1.393332958,1.367333055,1.370000005,7008000,356.6754664,476.0529909,68.23266507,-106.7821565,-125.5809266,1.595001355,1.033398649,0.092237983,0.186712159,0.186712159
7/29/2010,TSLA,1.356667042,1.39199996,1.333333015,1.384667039,9240000,345.6397738,473.5677154,65.94602818,-100.5668926,-120.5781198,1.553205478,1.051994527,0.089999906,0.169540587,0.169540587
7/30/2010,TSLA,1.329332948,1.362666965,1.303333044,1.346667051,6403500,334.5971441,471.0846448,65.52090528,-94.55350292,-115.3731964,1.535195836,1.056537465,0.089142757,0.169500771,0.169500771
8/2/2010,TSLA,1.394667029,1.398000002,1.355332971,1.366667032,10771500,323.4222482,468.6297491,65.10873916,-88.75941309,-110.0504397,1.54479151,1.058408497,0.085761837,0.153253153,0.153253153
8/3/2010,TSLA,1.463333011,1.463333011,1.388000011,1.399999976,18457500,312.1602758,466.1371855,62.36806957,-83.20290312,-104.6809324,1.549425472,1.092707835,0.079761837,0.106350281,0.106350281
8/4/2010,TSLA,1.417333007,1.478667021,1.389999986,1.463333011,13695000,300.9459015,463.7476654,57.46999019,-77.90500039,-99.32574602,1.53320801,1.145325294,0.07419048,0.068878608,0.068878608
8/5/2010,TSLA,1.363332987,1.436666965,1.336666942,1.43599999,11943000,289.809312,461.3545872,48.97071498,-72.87072333,-94.03474148,1.524874716,1.173591884,0.074619055,-0.009205712,-0.009205712
8/6/2010,TSLA,1.305999994,1.343999982,1.301332951,1.340000033,11128500,278.552379,458.8896335,36.84801984,-68.10062714,-88.84791861,1.509765923,1.203300679,0.070000061,-0.105887939,-0.105887939
8/9/2010,TSLA,1.30666697,1.332000017,1.29666698,1.326666951,12190500,267.1271464,456.4376359,45.15240713,-63.58724356,-83.7957836,1.481319325,1.248747272,0.06395242,-0.034482294,-0.034482294
8/10/2010,TSLA,1.268666983,1.309999943,1.254667044,1.309999943,19219500,255.7878054,454.2451011,42.28276034,-59.32950721,-78.90252832,1.469669672,1.26633033,0.061238127,-0.058852421,-0.058852421
8/11/2010,TSLA,1.19333303,1.258666992,1.190000057,1.246000051,11964000,244.3447311,452.0426742,30.76919328,-55.32356369,-74.1867354,1.488619295,1.234447309,0.061238127,-0.14761925,-0.14761925
8/12/2010,TSLA,1.173333049,1.19333303,1.159332991,1.186666965,10365000,232.5316841,449.8933034,27.13755228,-51.55613144,-69.6606146,1.50587495,1.201924962,0.061000058,-0.173320803,-0.173320803
