Date,Ticker,Close_Price,High,Low,Open,Volume,SMA_50,SMA_200,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,ATR_14,Sentiment_Score,Price_Momentum
1/5/2009,V,11.9810791,12.31054755,11.79853579,11.79853579,16600000,140.1374219,125.6846198,2.158240581,-12.14502834,-3.598900799,192.0404381,75.5246712,13.00996503,-0.919335628,-0.919335628
1/6/2009,V,12.82478714,12.90715405,12.13245776,12.13245776,32506400,137.4897175,125.115767,2.750341755,-19.63139692,-6.805400024,206.7190909,48.06849645,12.50968411,-0.913134739,-0.913134739
1/7/2009,V,12.54652023,12.90047639,12.46415332,12.61998238,28441600,134.8594479,124.5308342,2.768422519,-25.29526372,-10.50337276,214.9360794,26.85615998,12.29085004,-0.914317279,-0.914317279
1/8/2009,V,12.41295147,12.53316319,11.8586433,12.46860495,34683600,132.2489069,123.9450877,2.816643373,-29.45515614,-14.29372944,219.7538283,9.288705884,11.8976009,-0.913721054,-0.913721054
1/9/2009,V,12.38178921,12.5353934,12.19479343,12.47083514,16702400,129.6687427,123.3384655,2.444937726,-32.3811457,-17.91121269,221.8716871,-5.699973614,11.52478678,-0.914253534,-0.914253534
1/12/2009,V,11.78963184,12.49977072,11.70058679,12.30832263,31520400,127.0655354,122.7299039,2.457113779,-34.35180938,-21.19933203,221.2068052,-18.6091284,11.21258576,-0.917624146,-0.917624146
1/13/2009,V,11.82970428,11.87422724,11.46684334,11.74288499,23133200,124.4215295,122.1370097,2.660448182,-35.50110638,-24.0596869,218.5475961,-29.61994879,10.51168452,-0.911738384,-0.911738384
1/14/2009,V,11.3466301,11.71171674,11.17966968,11.57814789,25246800,121.7284621,121.5429646,2.651141706,-36.03551756,-26.45485303,214.3786104,-39.08029999,10.19754446,-0.915323656,-0.915323656
1/15/2009,V,10.99267197,11.31991374,10.5741577,11.21528581,47446400,118.9951155,120.9234144,1.105768634,-36.07179059,-28.37824054,208.8497792,-47.09520091,9.92152699,-0.919183417,-0.919183417
1/16/2009,V,10.55412674,11.00825938,10.06437591,10.91476108,69204800,116.323398,120.3082861,1.110907665,-35.72411876,-29.84741619,202.2568509,-53.83385943,9.726089531,-0.921815495,-0.921815495
1/20/2009,V,9.443284988,10.33151518,9.363144666,10.251374,59766000,113.5170638,119.7099773,0.931516372,-35.13322799,-30.90457855,194.1518327,-59.22451208,9.677401053,-0.930158387,-0.930158387
1/21/2009,V,9.8350811,10.05101683,9.505612666,9.616919604,50503200,110.6439654,119.1340554,1.235871171,-34.23864632,-31.5713921,184.7229229,-63.1240937,9.564381728,-0.927125959,-0.927125959
1/22/2009,V,9.8350811,10.16900191,9.623597749,9.74603521,31927600,107.7414668,118.5619273,0.996652627,-33.14757925,-31.88662953,175.4718179,-66.29248052,9.436195482,-0.927292964,-0.927292964
1/23/2009,V,9.86624527,9.895185307,9.300805915,9.503384475,22617200,104.9021917,117.9984181,1.034491195,-31.9125184,-31.8918073,164.7608328,-67.99487091,9.270079853,-0.926134276,-0.926134276
1/26/2009,V,9.481127739,10.07105502,9.465544831,9.861797373,24009200,101.9888144,117.4244716,25.55505844,-30.61192433,-31.63583071,151.9512723,-67.83919804,0.651940598,-0.20865828,-0.20865828
1/27/2009,V,9.828404427,9.837308338,9.492256948,9.681479281,26436000,99.16358256,116.8407342,17.55055536,-29.21638355,-31.15194128,137.3482551,-65.75234097,0.611233859,-0.233639957,-0.233639957
1/28/2009,V,10.51182747,10.5697067,10.07327786,10.22020299,32089600,96.34381911,116.2436339,29.74284267,-27.73554283,-30.46866159,120.1324171,-61.00632088,0.633018088,-0.162171879,-0.162171879
1/29/2009,V,10.30034637,10.70995603,10.07328007,10.22688337,26097600,93.59742613,115.6571492,29.28846959,-26.27613571,-29.63015641,99.34790459,-52.68777437,0.63031495,-0.170193616,-0.170193616
1/30/2009,V,10.98599434,10.98599434,10.43168627,10.4739826,30315200,90.89374605,115.0763788,37.87226209,-24.77858687,-28.65984251,71.98102364,-37.74929442,0.654961236,-0.112729659,-0.112729659
2/2/2009,V,11.12401676,11.12846914,10.58306492,10.74334635,28544000,88.27142628,114.5139542,43.72111093,-23.31190622,-27.59025525,13.19718973,8.789940435,0.636834114,-0.056457665,-0.056457665
2/3/2009,V,10.77228928,11.34218131,10.72776631,11.17744661,28953600,85.785872,113.978516,40.57910979,-21.92519274,-26.45724275,13.08848796,8.777763224,0.651622049,-0.089386427,-0.089386427
2/4/2009,V,10.93702316,11.18412477,10.81013328,10.8769173,33166400,83.38981236,113.4607789,46.13121075,-20.57573539,-25.28094128,12.80208507,8.87538971,0.643035509,-0.036099435,-0.036099435
2/5/2009,V,11.96327114,12.26602533,11.46461564,11.6293503,96728400,80.92907778,112.9452548,58.1343869,-19.20212099,-24.06517722,12.68130546,8.937844411,0.684695946,0.088295109,0.088295109
2/6/2009,V,12.33503914,12.46638141,11.9499171,12.01002297,45907600,78.54217871,112.4393717,65.09440154,-17.87744308,-22.82763039,12.66363254,8.947726104,0.654166006,0.168740858,0.168740858
2/9/2009,V,12.3150053,12.54429743,12.15472297,12.35952827,31874400,76.0486787,111.9297891,79.86124589,-16.63745661,-21.58959563,12.64856944,8.956110809,0.612823431,0.304101837,0.304101837
2/10/2009,V,11.98775673,12.4663769,11.93432988,12.27270306,38071600,73.48563385,111.4048543,72.68891582,-15.50246189,-20.37216889,12.68274744,8.941745301,0.607417372,0.218877263,0.218877263
2/11/2009,V,12.25876331,12.3189866,11.93311223,12.06694119,23668000,70.85440897,110.8607979,74.16481457,-14.41493602,-19.18072231,12.76227468,8.905123967,0.596022387,0.246432356,0.246432356
2/12/2009,V,12.5799551,12.62456419,11.84389324,12.10709094,34827600,68.24700813,110.326081,75.57725955,-13.37299093,-18.01917604,12.96659305,8.824138094,0.609328927,0.275049906,0.275049906
2/13/2009,V,12.47958088,12.92567849,12.32567666,12.69816861,40788000,65.60939974,109.7997143,79.86397912,-12.41226048,-16.89779293,13.15902214,8.780399893,0.608935473,0.316254904,0.316254904
2/17/2009,V,12.10039806,12.31229461,11.97102934,12.19853923,35581600,62.96840782,109.2654692,72.48568188,-11.54834939,-15.82790422,13.2832498,8.810799364,0.607870092,0.231166071,0.231166071
2/18/2009,V,12.52419281,12.68924848,12.10039967,12.17177523,36329200,60.3158918,108.7214268,70.99511266,-10.70608385,-14.80354014,13.39622186,9.005918092,0.596980674,0.191438201,0.191438201
2/19/2009,V,12.40820599,12.91452691,12.37697929,12.70263036,35102400,57.7520558,108.1849756,72.43851794,-9.933435059,-13.82951913,13.48911157,9.17034087,0.589900079,0.204639683,0.204639683
2/20/2009,V,12.41489983,12.51081091,12.15616318,12.18962085,42908000,55.1503538,107.6406298,67.78124528,-9.21434792,-12.90648489,13.54929016,9.368144146,0.566257204,0.130066105,0.130066105
2/23/2009,V,12.10039806,12.67809452,12.04240575,12.49965564,31967200,52.59416168,107.0980676,61.63884948,-8.571042206,-12.03939635,13.53784734,9.603002255,0.572706101,0.087772369,0.087772369
2/24/2009,V,12.56880283,12.70932385,11.95764944,12.120475,43590800,50.02373781,106.5873222,70.83557021,-7.931986441,-11.21791437,13.47445387,9.97516323,0.582510344,0.166771751,0.166771751
2/25/2009,V,12.36136532,12.61341073,12.29891192,12.51526955,34394800,47.32036514,106.0704325,66.35718445,-7.357456439,-10.44582278,13.37523586,10.32767733,0.575557724,0.130231247,0.130231247
2/26/2009,V,12.50411606,12.637945,12.22084398,12.54649502,35902400,44.59984749,105.5842176,57.79231007,-6.812092914,-9.719076809,13.36244869,10.53969335,0.510421928,0.045208782,0.045208782
2/27/2009,V,12.64910316,12.91453191,12.26768974,12.26768974,47237200,41.90002956,105.1094281,54.84129505,-6.295617188,-9.034384885,13.27798565,10.85903208,0.519734632,0.025461129,0.025461129
3/2/2009,V,12.08032417,12.70709167,12.01563981,12.47512069,39060000,39.21303619,104.6282441,46.90585347,-5.864598722,-8.400427652,13.22029187,11.02615884,0.541297304,-0.019056519,-0.019056519
3/3/2009,V,12.1249361,12.40820826,11.86842958,12.20746394,42195600,36.57813501,104.1512715,51.95428709,-5.456514372,-7.811644996,13.16464242,11.18190022,0.541849565,0.011443289,0.011443289
